#index,RA,Dec
3,204.480000,37.516400
3,189.387000,28.038900
1,180.711000,36.839800
3,203.502000,17.879800
3,179.509000,34.244400
3,201.560000,16.881100
2,203.130000,18.164600
3,195.231000,27.870300
1,201.465000,12.872500
2,203.733000,13.742200
2,185.100000,25.560600
2,184.828000,12.018200
3,183.955000,28.866300
2,183.624000,34.551400
2,195.010000,33.436500
3,198.293000,30.085900
3,204.950000,27.909300
1,167.367000,23.505200
1,165.148000,12.161600
3,169.553000,23.409400
2,179.731000,28.399000
3,171.728000,22.574700
2,173.372000,34.317700
1,177.574000,13.492300
1,173.473000,20.067000
2,177.084000,12.716600
2,171.973000,20.808400
1,172.977000,35.424000
2,188.915000,26.548800
2,181.641000,28.143800
2,182.690000,19.040800
1,176.899000,21.249700
3,175.991000,19.973500
2,183.500000,32.316300
2,178.596000,35.742000
2,167.805000,28.696400
3,172.145000,23.469100
2,172.036000,17.380000
3,176.280000,19.580300
2,189.906000,16.588500
3,184.036000,17.700000
1,167.356000,35.436100
2,167.110000,36.176800
3,166.305000,18.890000
1,170.442000,18.696700
2,170.399000,18.458600
2,195.025000,27.978300
3,192.821000,31.510800
3,188.907000,26.557700
2,190.765000,30.381100
3,169.917000,34.733000
3,170.000000,30.578900
3,173.355000,24.490600
1,172.222000,27.852100
2,173.096000,28.055300
2,181.188000,31.159500
2,184.949000,30.339100
2,165.747000,25.022100
2,166.703000,28.705800
3,167.848000,28.726000
3,171.981000,20.800200
1,174.274000,22.507900
2,174.435000,22.021300
2,181.348000,17.889700
1,180.689000,15.004500
2,183.283000,12.918200
3,193.367000,32.284200
3,192.008000,35.251800
3,184.400000,13.383800
2,169.141000,28.768500
2,166.246000,30.029400
2,185.015000,20.407600
2,188.477000,20.166600
3,183.748000,19.142100
3,165.189000,37.908200
2,167.551000,36.964800
3,165.083000,12.198100
2,165.564000,37.966100
3,167.141000,36.168900
3,178.454000,30.011600
2,180.131000,31.947600
3,181.384000,32.580600
2,169.587000,22.436700
3,169.858000,24.996500
2,201.534000,35.937900
3,203.567000,34.769100
1,182.256000,19.079200
3,183.396000,16.945600
3,182.456000,19.185200
2,167.730000,31.554100
3,169.629000,30.376000
2,182.093000,25.316100
3,183.078000,23.702500
2,201.016000,13.935800
3,198.583000,13.508000
2,170.010000,30.581400
3,169.138000,28.772500
2,198.848000,12.895100
2,197.959000,14.620400
3,181.372000,31.128800
3,181.529000,32.892500
3,204.973000,28.222600
2,204.586000,26.759800
2,176.783000,29.577500
3,177.994000,30.410700
3,189.881000,27.867700
2,190.152000,26.507900
2,192.715000,35.405900
2,191.411000,35.083800
2,187.266000,27.778900
3,186.821000,26.640700
3,172.395000,22.263500
2,171.389000,22.819000
2,199.379000,20.600200
3,198.741000,21.494900
2,182.366000,22.104600
3,182.521000,22.849800
2,204.398000,16.053200
3,204.927000,16.436700
2,203.991000,33.430000
3,203.765000,34.039600
2,177.548000,21.794800
3,177.553000,21.302900
3,175.680000,26.533500
2,175.758000,26.258400
3,204.952000,16.772400
1,204.964000,17.080100
2,184.176000,14.279600
3,184.106000,14.044800
2,176.014000,33.535100
3,176.186000,33.510700
3,165.319000,37.940000
1,165.235000,37.925700
2,168.371000,23.313300
3,168.320000,23.287100
2,172.035000,27.386100
3,172.069000,27.416700
2,174.874000,26.309100
3,174.883000,26.315800
