#plate,mjd,fiberID,RA,Dec
2220,53795,387,173.060200,29.939184
2220,53795,504,174.311620,30.157543
2220,53795,515,174.301810,30.128243
2614,54481,109,191.961320,19.384184
2601,54144,22,193.232650,17.454294
2643,54208,442,180.651350,23.783106
2511,53882,426,176.822560,23.687339
2511,53882,430,176.888600,23.622136
2655,54184,85,180.610500,23.818845
2510,53877,628,178.010880,25.751119
2513,54141,564,178.989520,23.245325
2643,54208,339,179.720470,23.318586
2664,54524,322,199.830600,24.983528
2601,54144,141,192.275410,17.025818
1974,53430,487,173.552660,32.243020
2662,54505,279,194.644860,24.393543
2029,53819,173,196.516940,31.469343
2505,53856,48,175.895100,23.944317
2510,53877,197,176.677380,23.963399
2510,53877,236,176.651630,23.954585
2510,53877,290,175.785560,24.004503
2510,53877,319,175.758490,23.944434
2514,53882,61,179.241490,24.129469
2514,53882,104,179.058550,24.244596
2514,53882,164,178.650600,24.107903
2655,54184,294,179.644560,24.117198
2514,53882,109,179.006540,24.320885
2514,53882,114,179.029620,24.395267
2514,53882,524,179.147210,25.821866
2029,53819,606,197.583910,32.483195
2649,54212,221,193.140560,22.064717
2649,54212,23,194.947240,21.813210
2649,54212,45,194.321640,21.338230
2660,54504,243,189.948700,24.173405
2648,54485,438,190.398860,22.494848
2648,54485,496,190.997110,22.566544
2646,54479,233,185.564480,22.507703
2647,54495,611,189.673510,23.336604
2647,54495,608,189.444530,23.650246
2510,53877,24,177.984320,23.811561
2510,53877,62,177.232110,23.909822
2615,54483,635,195.240390,19.686987
2616,54499,615,196.039290,20.250891
2220,53795,369,173.489940,30.373413
2510,53877,239,176.468010,23.866900
2514,53882,12,179.362370,23.918428
2514,53882,59,179.098660,23.867955
2514,53882,125,178.650810,23.863231
2514,53882,285,177.880360,23.862870
1974,53430,533,173.966410,32.156989
2615,54483,421,193.439340,20.093407
2098,53460,248,173.691940,32.232076
2514,53882,490,178.570230,24.972735
2514,53882,352,177.342020,24.938472
2514,53882,436,178.136490,25.043208
2614,54481,494,191.613890,20.289127
2613,54481,586,190.310250,20.666189
2645,54477,33,185.722350,22.447391
2647,54495,32,189.529270,22.313653
2646,54479,111,187.082180,22.417205
2647,54495,261,187.455770,22.372141
2647,54495,263,187.349940,22.363555
2615,54483,423,193.243640,19.915896
2600,54243,574,190.667490,18.231204
2601,54144,423,191.969270,18.052722
2601,54144,542,192.875170,18.065367
2601,54144,630,193.381760,18.039987
2220,53795,445,174.352800,30.711037
2655,54184,305,179.569110,24.315754
2661,54505,36,193.688720,24.206030
2661,54505,564,193.968150,25.182906
2659,54498,62,189.158590,24.428774
2602,54149,317,192.783490,17.176422
2649,54212,260,192.832700,21.230110
2650,54505,294,195.588080,21.071236
2614,54481,402,191.277330,21.169575
2648,54485,46,191.504260,21.147449
2649,54212,361,193.069530,23.530275
2234,53823,239,187.222800,29.840761
2662,54505,220,195.221700,23.164260
2514,53882,113,179.126280,24.582436
2514,53882,118,179.113530,24.537376
2655,54184,229,179.844120,24.497324
2603,54479,352,195.283620,17.770621
2505,53856,56,175.754810,24.370443
2660,54504,66,191.430200,24.663557
2660,54504,67,191.240940,24.771512
2616,54499,506,195.802730,19.977868
2655,54184,364,179.796600,26.027677
2655,54184,456,179.977030,26.069455
2661,54505,1,194.541650,24.348918
2649,54212,246,192.852910,21.572174
2029,53819,531,196.978000,32.306618
2029,53819,534,196.913970,32.236939
2029,53819,573,197.204710,32.293794
2647,54495,14,189.674170,21.659056
2663,54234,614,199.330180,25.214839
2663,54234,615,199.619620,25.220150
5860,56046,658,195.487280,20.437831
2648,54485,259,190.329260,21.672498
2643,54208,405,180.461000,23.291590
2643,54208,406,180.463060,23.306800
2614,54481,166,191.436920,19.177259
2614,54481,168,191.342670,19.189379
2614,54481,415,191.574040,20.783005
2510,53877,4,178.420420,24.412527
2510,53877,15,178.257690,24.830460
2510,53877,81,177.818750,24.329479
2514,53882,512,178.800150,24.790011
5967,56063,431,179.966360,26.300597
2601,54144,492,192.458710,17.866566
2661,54505,284,192.010180,24.504765
2661,54505,573,194.193890,24.997387
2660,54504,287,189.352680,23.864058
2662,54505,266,194.689920,24.233946
2514,53882,8,179.258900,23.699850
2514,53882,135,178.801940,23.789583
2643,54208,407,180.254450,23.724896
2643,54208,444,180.631130,23.839340
3374,54948,468,189.157730,24.428699
2648,54485,232,190.471090,22.348807
2646,54479,421,185.939680,22.884806
2647,54495,636,189.532020,22.698596
2661,54505,23,193.975780,23.802583
2662,54505,211,195.341800,23.794822
2662,54505,213,195.371010,23.768128
2647,54495,395,187.653350,22.760244
2647,54495,492,188.525430,22.803209
2648,54485,467,190.705860,22.772808
5983,56310,688,188.048510,24.031947
2648,54485,437,190.308050,22.594975
2649,54212,310,192.470420,21.995459
5985,56089,868,190.302050,22.589442
6411,56331,256,178.008320,25.749925
2661,54505,277,192.406230,23.992148
2646,54479,546,186.747820,22.639583
2646,54479,595,186.947190,22.562128
2648,54485,149,191.416670,22.052203
2648,54485,169,191.397670,22.057155
2649,54212,559,194.223100,22.373607
2648,54485,365,190.401120,23.425161
2513,54141,602,179.471940,23.225137
2513,54141,611,179.495990,23.124897
2513,54141,612,179.416800,23.104885
2648,54485,509,191.288680,23.039059
2648,54485,513,191.393430,23.072888
2646,54479,589,187.264610,23.268014
2646,54479,604,187.130570,23.304937
2646,54479,637,187.504910,23.183806
2008,53473,308,174.123090,31.325380
2616,54499,79,195.832080,19.291956
1974,53430,68,173.892270,30.946826
5985,56089,8,191.330210,21.535717
5986,56328,350,190.461680,23.507961
2514,53882,83,178.895650,23.498324
2648,54485,100,191.329000,21.535762
2618,54506,298,197.416710,19.331620
2647,54495,505,188.828710,23.025798
2648,54485,87,191.081670,21.470181
2648,54485,377,190.464070,23.510663
2649,54212,62,194.716950,21.760824
2649,54212,129,193.542150,21.000727
2650,54505,270,195.523200,21.651127
2650,54505,310,195.164090,21.691709
2613,54481,606,190.295890,20.995968
2093,53818,253,197.877180,32.526474
2093,53818,296,197.560650,32.717852
2093,53818,299,197.793930,32.689918
2514,53882,433,178.104550,25.234437
2660,54504,79,191.421650,24.955593
2661,54505,415,192.203650,24.999259
2661,54505,457,192.525100,25.022216
6404,56330,305,178.646430,23.880784
2510,53877,147,177.035180,24.216011
2514,53882,187,178.500240,24.331674
2514,53882,191,178.559630,24.262659
2514,53882,240,178.158350,24.307633
2648,54485,91,191.277020,21.171249
2649,54212,563,194.476740,23.515956
2601,54144,586,193.213260,17.748761
2510,53877,616,178.094870,25.083067
2601,54144,470,192.063460,17.774016
