#field_value,log_field_value,mass,RA,DEC,Z
7.2965,1.9874,1,183.31,12.998,0
969.59,6.8769,1,183.28,12.918,0
12.246,2.5052,1,183.7,13.085,0
340.28,5.8298,1,165.15,12.162,0
35.649,3.5737,1,165.25,12.201,0
1.378,0.32061,1,165.2,12.13,0
18.296,2.9067,1,178.48,13.278,0
9.8847,2.291,1,178.15,13.46,0
113.25,4.7296,1,181.8,28.35,0
526.18,6.2656,1,181.74,28.327,0
4.3884,1.479,1,180.67,13.059,0
4.5322,1.5112,1,180.68,12.958,0
4.8977,1.5888,1,181.29,12.998,0
13.668,2.6151,1,183.28,12.926,0
29.647,3.3894,1,184.72,12.99,0
3007,8.0087,1,184.76,12.928,0
49.199,3.8959,1,184.75,12.947,0
21.685,3.0766,1,184.71,12.996,0
59.838,4.0916,1,184.66,12.938,0
351.62,5.8626,1,184.76,12.929,0
6.7711,1.9127,1,185.85,12.947,0
416.16,6.0311,1,194.63,28.05,0
671.08,6.5089,1,194.61,28.129,0
511.3,6.2369,1,194.68,28.049,0
156.11,5.0506,1,194.56,28.183,0
1117.4,7.0188,1,194.71,28.007,0
2.9502,1.0819,1,176.83,15.475,0
1.5216,0.41975,1,176.82,15.323,0
8.658,2.1585,1,183.1,15.481,0
4.9214,1.5936,1,183.59,15.521,0
13.442,2.5984,1,183.64,15.199,0
1.1238,0.11675,1,193.87,15.883,0
10.146,2.3171,1,202.92,34.816,0
29.402,3.3811,1,203.09,34.719,0
45.437,3.8163,1,203.51,34.735,0
23.256,3.1466,1,182.09,28.334,0
43.907,3.7821,1,181.93,28.32,0
9.9164,2.2942,1,182.38,28.517,0
10.564,2.3575,1,182.64,28.396,0
14.947,2.7045,1,182.82,28.52,0
6.3544,1.8491,1,184.09,30.465,0
144.08,4.9704,1,184.91,28.495,0
1288.5,7.1613,1,184.91,28.391,0
113.73,4.7339,1,184.9,28.354,0
29.898,3.3978,1,185.43,28.413,0
39.836,3.6848,1,185.19,28.46,0
70.341,4.2534,1,185.09,28.516,0
57.038,4.0437,1,185.09,28.384,0
44.775,3.8017,1,185.5,28.431,0
38.712,3.6562,1,185.72,28.353,0
71.665,4.272,1,196.81,28.047,0
23.587,3.1607,1,197.04,27.827,0
499.51,6.2136,1,194.8,28.009,0
1085.5,6.9898,1,194.95,27.992,0
560.99,6.3297,1,194.91,28.001,0
270.98,5.602,1,195.33,28.128,0
81.23,4.3973,1,195.2,28.158,0
169.46,5.1326,1,195.23,28.008,0
348.05,5.8523,1,195.29,28.033,0
497.49,6.2096,1,195.21,28.047,0
235.87,5.4633,1,195.32,28.097,0
597.59,6.3929,1,195.19,28.101,0
310.07,5.7368,1,195.31,28.083,0
979.73,6.8873,1,195.03,28.004,0
241,5.4848,1,195.4,28.147,0
134.81,4.9039,1,195.41,28.016,0
289.81,5.6692,1,195.36,27.999,0
2.8991,1.0644,1,169.28,12.925,0
7.6128,2.0298,1,169.33,12.96,0
37.497,3.6243,1,199.87,27.749,0
3.5269,1.2604,1,199.92,27.706,0
4.1163,1.415,1,167.17,13.963,0
7.0536,1.9535,1,179.97,15.556,0
680.24,6.5224,1,183.07,15.429,0
326.29,5.7878,1,195.27,28.062,0
476.45,6.1664,1,195.2,28.091,0
768.31,6.6442,1,195.02,27.988,0
120.55,4.7921,1,195.45,28.095,0
0.79078,-0.23474,1,174.28,37.809,0
10.03,2.3056,1,169.28,29.532,0
157.94,5.0622,1,181.51,28.312,0
17.314,2.8515,1,196.85,27.866,0
72.822,4.288,1,196.67,27.884,0
93.082,4.5335,1,196.54,28.065,0
10.862,2.3852,1,197.13,27.879,0
24.676,3.2058,1,189.75,28.315,0
27.821,3.3258,1,189.48,28.286,0
12.642,2.537,1,190.05,28.361,0
21.776,3.0808,1,189.79,28.27,0
6.6589,1.896,1,166.17,36.656,0
0.87108,-0.13802,1,173.06,29.939,0
3.2083,1.1657,1,175.61,30.264,0
3.0515,1.1156,1,175.57,30.23,0
396.28,5.9821,1,195.13,28.108,0
221.86,5.402,1,195.13,28.16,0
808.15,6.6947,1,195.15,28.146,0
1284.9,7.1584,1,195.17,28.045,0
2219.6,7.7051,1,195.07,28.064,0
448.89,6.1068,1,195.16,28.015,0
403.64,6.0005,1,195.09,28.047,0
386.87,5.9581,1,194.7,28.019,0
1117.7,7.019,1,194.79,28.041,0
1151,7.0484,1,194.85,27.997,0
7.743,2.0468,1,198.22,27.88,0
1.2078,0.18883,1,175.68,15.355,0
2.6115,0.95994,1,174.87,15.393,0
36.421,3.5952,1,198.36,27.802,0
24.961,3.2173,1,198.36,27.763,0
2.9026,1.0656,1,177.33,15.409,0
30.832,3.4285,1,177.89,15.475,0
10.908,2.3895,1,177.99,15.335,0
12.485,2.5245,1,180.5,15.418,0
55.197,4.0109,1,180.28,15.398,0
5.4466,1.695,1,180.8,15.451,0
67.349,4.2099,1,180.21,15.451,0
100.96,4.6147,1,180.23,15.373,0
9.3154,2.2317,1,180.78,15.165,0
2.9802,1.092,1,181.18,15.133,0
55.717,4.0203,1,198.48,27.713,0
64.854,4.1721,1,181.26,15.422,0
25.326,3.2318,1,181.35,15.447,0
9.1055,2.2089,1,198.66,27.846,0
7.0776,1.9569,1,199.05,27.734,0
13.085,2.5715,1,199.35,27.75,0
2.2486,0.81031,1,199.44,15.677,0
11.563,2.4478,1,201.06,15.569,0
9.2419,2.2237,1,204.89,15.223,0
1.9477,0.66663,1,200.6,27.582,0
18.809,2.9343,1,167.54,22.227,0
32.441,3.4794,1,168.38,22.849,0
27.603,3.3179,1,171.73,22.601,0
1102.6,7.0054,1,195.18,27.971,0
291.3,5.6744,1,195.33,27.961,0
350.54,5.8595,1,195.96,27.988,0
29.288,3.3772,1,204.22,34.612,0
75.183,4.3199,1,203.81,34.677,0
70.666,4.258,1,203.8,34.647,0
151.96,5.0236,1,203.6,34.639,0
115.8,4.7519,1,203.63,34.659,0
23.523,3.158,1,202.55,34.859,0
79.552,4.3764,1,202.7,34.812,0
65.762,4.186,1,202.57,34.9,0
140.28,4.9436,1,202.68,34.831,0
152.15,5.0248,1,195.68,28.045,0
199.9,5.2978,1,195.64,27.949,0
29.943,3.3993,1,184.86,25.038,0
101.72,4.6222,1,195.56,28.102,0
3.7416,1.3195,1,198.49,35.315,0
3.381,1.2182,1,197.76,35.469,0
8.6776,2.1607,1,197.33,35.53,0
10.768,2.3766,1,196.87,35.492,0
3.8185,1.3399,1,196.1,35.557,0
9.0676,2.2047,1,198.97,35.294,0
0.75609,-0.2796,1,178.8,37.995,0
3.9677,1.3782,1,168.23,37.053,0
116.06,4.7541,1,167.57,36.909,0
18.922,2.9403,1,167.73,36.898,0
321.84,5.7741,1,167.51,36.935,0
11.445,2.4376,1,167.48,36.946,0
60.733,4.1065,1,167.56,36.967,0
159.5,5.072,1,167.47,37.002,0
29.134,3.3719,1,167.36,37.026,0
5.0453,1.6185,1,167,36.872,0
3.5064,1.2546,1,194.41,35.72,0
167.91,5.1234,1,195.82,28.03,0
349.2,5.8557,1,195.53,28.151,0
110.88,4.7084,1,195.6,27.972,0
110.14,4.7018,1,195.49,28.006,0
2.446,0.89447,1,169.97,29.774,0
6.9914,1.9447,1,171.99,13.184,0
13.929,2.634,1,171.11,29.867,0
1.6516,0.50176,1,171.62,29.872,0
4.6336,1.5333,1,174.31,30.158,0
1.204,0.18566,1,174.3,30.128,0
1.2314,0.20818,1,171.87,12.484,0
0.97139,-0.029025,1,174.31,13.259,0
8.5262,2.1431,1,177.01,30.359,0
2.9597,1.0851,1,176.93,30.233,0
55.863,4.0229,1,178.01,30.32,0
9.9476,2.2973,1,177.85,30.413,0
18.4,2.9124,1,178.05,30.297,0
889.12,6.7902,1,181.77,28.329,0
60.202,4.0977,1,181.77,28.387,0
55.378,4.0142,1,181.71,28.351,0
77.209,4.3465,1,195.66,28.115,0
209.06,5.3426,1,195.86,28.014,0
220.04,5.3938,1,195.88,28.092,0
116.54,4.7583,1,195.75,28.032,0
63.618,4.1529,1,195.84,27.936,0
15.498,2.7407,1,183.62,28.423,0
196.03,5.2783,1,195.74,28.07,0
15.242,2.7241,1,184.85,30.501,0
78.003,4.3568,1,195.96,28.054,0
5.6218,1.7267,1,185.1,30.521,0
8.7877,2.1734,1,183.98,28.378,0
7.8044,2.0547,1,184.55,28.544,0
38.819,3.6589,1,184.58,28.528,0
112.09,4.7193,1,184.87,28.469,0
1356.2,7.2125,1,195.9,28.098,0
18.238,2.9035,1,196.03,27.965,0
137.74,4.9253,1,195.94,27.987,0
270.3,5.5995,1,195.94,28.084,0
58.824,4.0745,1,196.65,27.873,0
44.712,3.8003,1,196.58,28.053,0
9.7947,2.2818,1,185.11,30.454,0
491.31,6.1971,1,184.97,28.423,0
162.93,5.0933,1,184.84,28.537,0
309.1,5.7337,1,184.97,28.386,0
1906.9,7.5532,1,184.96,28.405,0
429.3,6.0621,1,184.91,28.408,0
379.56,5.939,1,185.04,28.389,0
87.22,4.4684,1,185.25,28.535,0
116.56,4.7584,1,185.01,28.445,0
231.84,5.446,1,185.09,28.413,0
69.326,4.2388,1,185.76,28.413,0
20.368,3.014,1,185.74,28.494,0
223.82,5.4108,1,185.56,28.357,0
97.474,4.5796,1,185.68,28.386,0
11.109,2.4078,1,186.33,28.381,0
30.274,3.4103,1,186.54,28.434,0
52.301,3.957,1,186.4,28.449,0
3.8272,1.3421,1,187.47,28.526,0
14.764,2.6922,1,191.99,28.174,0
6.1197,1.8115,1,192.1,28.307,0
6.7886,1.9152,1,192.86,28.121,0
36.979,3.6103,1,193.47,28.187,0
61.601,4.1207,1,193.54,28.093,0
25.857,3.2526,1,193.28,28.241,0
70.466,4.2551,1,193.33,28.211,0
51.277,3.9372,1,193.82,28.252,0
89.208,4.491,1,193.74,28.126,0
71.63,4.2715,1,193.95,28.256,0
110.29,4.7031,1,194.19,28.052,0
458.47,6.1279,1,194.4,28.04,0
1061.7,6.9677,1,194.16,28.081,0
307.45,5.7283,1,194.22,28.188,0
281.26,5.6393,1,194.46,28.17,0
135.54,4.9093,1,194.16,28.106,0
2.5319,0.92896,1,199.66,13.122,0
10.254,2.3277,1,187.24,32.674,0
10.25,2.3273,1,194.89,32.291,0
41.664,3.7296,1,174.87,22.373,0
6.2709,1.8359,1,176.36,32.252,0
3.1431,1.1452,1,196.38,32.067,0
11.511,2.4433,1,165.64,23.892,0
2.8711,1.0547,1,176.94,32.318,0
16.642,2.8119,1,182.77,17.941,0
394.57,5.9778,1,183.3,32.636,0
14.509,2.6748,1,176.31,32.312,0
4.8085,1.5704,1,187.13,32.548,0
9.3673,2.2372,1,195.76,32.211,0
28.394,3.3462,1,182.2,32.538,0
3.1936,1.1611,1,198.9,31.844,0
6.2135,1.8267,1,198.95,31.846,0
34.981,3.5548,1,199.22,31.711,0
8.5862,2.1502,1,165.16,23.835,0
21.121,3.0503,1,165.47,23.903,0
1.446,0.36881,1,167.87,18.992,0
4.5895,1.5238,1,167.37,18.947,0
4.0431,1.397,1,166.96,18.991,0
45.928,3.8271,1,167.21,21.598,0
134.82,4.9039,1,167.39,21.641,0
686.68,6.5319,1,167.4,21.684,0
792.54,6.6752,1,167.39,21.665,0
1.7628,0.56688,1,178.8,32.364,0
206.65,5.331,1,167.41,21.718,0
37.846,3.6335,1,167.51,21.684,0
691.95,6.5395,1,167.42,21.74,0
