# #plate,mjd,fiberID,RA,Dec,dist(Mpc)
2229,53823,322,181.800730,28.350432,0.434002
2229,53823,326,181.743360,28.327200,0.354804
2240,53823,535,194.632960,28.049618,0.613487
2240,53823,536,194.606370,28.128927,0.692639
2240,53823,537,194.683970,28.048969,0.536890
2240,53823,538,194.557510,28.182548,0.799044
2240,53823,540,194.711760,28.006998,0.482763
2229,53823,371,182.094190,28.333677,0.767522
2229,53823,375,181.931610,28.319952,0.539539
2229,53823,402,182.384720,28.517147,1.308323
2229,53823,409,182.642990,28.395997,1.593357
2229,53823,455,182.819640,28.519513,1.915527
2230,53799,501,184.090430,30.464553,1.303891
2231,53816,536,184.910740,28.495407,3.201166
2231,53816,537,184.912630,28.391035,3.382263
2231,53816,538,184.895910,28.354102,3.446860
2231,53816,565,185.433880,28.412516,3.013635
2231,53816,573,185.187550,28.460332,3.281417
2231,53816,574,185.090340,28.516494,3.171246
2231,53816,579,185.086280,28.384091,3.400217
2231,53816,607,185.504100,28.431079,2.925892
2231,53816,610,185.715370,28.353367,2.576200
2242,54153,537,196.805020,28.046955,2.730692
2242,54153,569,197.037940,27.826613,3.099388
2241,54169,489,194.798110,28.009268,0.351941
2241,54169,506,194.945560,27.991918,0.124061
2241,54169,509,194.908280,28.001016,0.183227
2241,54169,522,195.329420,28.128144,0.534044
2241,54169,524,195.203350,28.158341,0.415139
2241,54169,530,195.226920,28.007637,0.313697
2241,54169,533,195.289310,28.033114,0.416154
2241,54169,534,195.213140,28.047132,0.312138
2241,54169,535,195.324350,28.097072,0.502914
2241,54169,536,195.185980,28.100633,0.325500
2241,54169,537,195.306930,28.083119,0.468795
2241,54169,560,195.026620,28.004129,0.044910
2241,54169,563,195.396850,28.146952,0.640500
2241,54169,573,195.405530,28.015771,0.586930
2241,54169,576,195.363110,27.999199,0.519597
2241,54169,538,195.273560,28.062050,0.407740
2241,54169,540,195.202700,28.090731,0.335032
2241,54169,556,195.018510,27.987589,0.018949
2241,54169,577,195.445900,28.095000,0.676032
2227,53820,448,181.513250,28.311572,0.350740
2242,54153,524,196.846860,27.865527,2.801406
2242,54153,528,196.671350,27.884134,2.530430
2242,54153,531,196.539720,28.064535,2.326145
2242,54153,578,197.125570,27.879273,3.226405
2236,53729,452,189.751450,28.314596,3.196575
2236,53729,459,189.479080,28.286074,3.138657
2236,53729,521,190.053200,28.360552,3.219794
2236,53729,531,189.789120,28.269848,3.109457
2220,53795,387,173.060200,29.939184,3.270860
2220,53795,617,175.607420,30.263768,2.132627
2220,53795,618,175.575000,30.230299,2.142215
2241,54169,446,195.128980,28.108398,0.276398
2241,54169,447,195.125790,28.160050,0.351281
2241,54169,448,195.148220,28.146129,0.347169
2241,54169,452,195.171640,28.045118,0.252924
2241,54169,455,195.070950,28.063914,0.164471
2241,54169,456,195.161510,28.014528,0.218505
2241,54169,458,195.092230,28.047011,0.157630
2241,54169,462,194.700650,28.018733,0.502120
2241,54169,465,194.789430,28.040934,0.377081
2241,54169,481,194.854370,27.996739,0.263533
2243,53794,366,198.216040,27.880058,4.896962
2243,53794,407,198.362290,27.802378,5.129162
2243,53794,409,198.357080,27.763462,5.126570
2243,53794,418,198.477820,27.713019,5.319403
2243,53794,452,198.657420,27.845570,5.576357
2496,54178,618,171.732040,22.600977,0.667135
2241,54169,590,195.178150,27.971266,0.235130
2241,54169,597,195.333310,27.961029,0.473678
2241,54169,606,195.961650,27.988379,1.436065
2241,54169,610,195.684990,28.045349,1.018230
2241,54169,613,195.644960,27.949119,0.951976
2657,54502,78,184.858330,25.038212,0.983027
2241,54169,614,195.559740,28.101606,0.846875
2241,54169,615,195.817680,28.030416,1.218372
2241,54169,616,195.533980,28.151038,0.835403
2241,54169,620,195.604300,27.972266,0.888247
2242,54153,321,195.489900,28.005844,0.714279
2217,53794,422,171.110560,29.866928,2.064902
2217,53794,464,171.618780,29.871767,2.709378
2220,53795,504,174.311620,30.157543,3.854147
2220,53795,515,174.301810,30.128243,3.856011
2222,53799,548,177.013980,30.359329,1.401046
2222,53799,555,176.930920,30.232588,1.158853
2222,53799,627,178.010490,30.319929,2.251746
2222,53799,629,177.850440,30.413088,2.163315
2222,53799,630,178.054470,30.296782,2.284274
2227,53820,572,181.770910,28.328957,0.377898
2227,53820,579,181.768790,28.386514,0.464470
2229,53823,339,181.713420,28.350625,0.375756
2242,54153,325,195.660190,28.114579,1.001576
2242,54153,362,195.855540,28.014005,1.274643
2242,54153,369,195.880140,28.092321,1.325234
2242,54153,371,195.753650,28.032485,1.120809
2242,54153,372,195.844870,27.935978,1.259379
2229,53823,579,183.623960,28.423448,3.070028
2242,54153,380,195.735710,28.070406,1.100840
2230,53799,581,184.848890,30.500743,0.318137
2242,54153,402,195.960400,28.054417,1.439680
2230,53799,621,185.104760,30.521266,0.392912
2231,53816,321,183.981380,28.377756,3.601472
2231,53816,404,184.547780,28.544379,3.174116
2231,53816,413,184.583250,28.528197,3.191978
2231,53816,460,184.866740,28.469362,3.248236
2242,54153,404,195.902410,28.097967,1.360412
2242,54153,405,196.033180,27.964958,1.545958
2242,54153,408,195.942820,27.986928,1.407180
2242,54153,411,195.937270,28.084232,1.410005
2242,54153,522,196.651640,27.872956,2.501737
2242,54153,523,196.580810,28.052507,2.387901
2232,53827,469,185.114790,30.453956,0.318422
2233,53845,325,184.965230,28.422599,3.327116
2233,53845,326,184.840190,28.537051,3.132676
2233,53845,327,184.972550,28.385864,3.390978
2233,53845,329,184.961070,28.405246,3.357197
2233,53845,336,184.909580,28.407894,3.353081
2233,53845,373,185.042540,28.388964,3.388366
2233,53845,374,185.250890,28.534717,3.165476
2233,53845,376,185.008910,28.445079,3.289252
2233,53845,378,185.088520,28.413366,3.349707
2233,53845,412,185.758810,28.413057,2.557256
2233,53845,413,185.741700,28.494155,2.643263
2233,53845,415,185.564070,28.356617,2.793307
2233,53845,420,185.677850,28.386154,2.651052
2233,53845,442,186.333860,28.381009,1.769486
2233,53845,535,186.536680,28.433567,1.593421
2233,53845,537,186.396750,28.448568,1.767238
2235,53847,374,187.467840,28.525863,1.333065
2238,54205,525,191.993680,28.173931,4.053207
2238,54205,566,192.103570,28.306890,4.131229
2238,54205,606,192.857140,28.120805,3.330495
2240,53823,365,193.474730,28.186591,2.401825
2240,53823,371,193.541620,28.092511,2.281632
2240,53823,373,193.281330,28.241254,2.708706
2240,53823,377,193.327480,28.211406,2.630973
2240,53823,403,193.815550,28.251936,1.911851
2240,53823,407,193.736520,28.126262,1.990698
2240,53823,409,193.949280,28.256104,1.716257
2240,53823,442,194.191130,28.051623,1.284340
2240,53823,445,194.404970,28.040384,0.956424
2240,53823,446,194.161880,28.081154,1.334662
2240,53823,448,194.218220,28.188111,1.288277
2240,53823,450,194.459300,28.170356,0.928468
2240,53823,453,194.160020,28.106277,1.343852
2015,53819,86,187.241630,32.673665,5.285023
1994,53845,628,194.888730,32.291236,1.996074
2507,53876,463,174.871380,22.373230,0.930215
2008,53473,561,176.357770,32.252419,2.282460
2029,53819,488,196.377380,32.067149,3.104216
1991,53446,360,176.940670,32.317863,2.507706
2596,54207,427,182.771160,17.941411,1.913259
2004,53737,516,183.299350,32.636281,0.628448
2008,53473,593,176.306160,32.312194,2.165273
2013,53818,623,187.128800,32.547756,5.011772
2029,53819,375,195.757130,32.210721,2.390864
2095,53474,624,182.197290,32.537513,1.947162
1991,53446,547,178.795700,32.364214,2.091547
2500,54178,476,172.051360,21.996660,1.779938
2004,53737,515,183.288840,32.596367,0.576271
2504,54179,341,172.438330,22.126549,2.068496
1994,53845,436,193.666750,32.367103,2.698060
1994,53845,440,193.574930,32.368986,2.794494
1994,53845,466,193.468770,32.241680,3.058661
1994,53845,471,193.265290,32.326786,3.190677
1994,53845,481,193.893780,32.205970,2.686078
2504,54179,352,172.424400,22.115395,2.061818
2004,53737,342,181.574490,32.657480,2.450500
2004,53737,381,182.081570,32.592136,2.132309
2511,53882,364,176.029210,22.433709,2.660057
2004,53737,385,181.820490,32.668924,2.534265
2511,53882,377,176.099880,22.424117,2.572585
2511,53882,414,176.476320,22.455563,2.070309
2511,53882,526,177.767820,22.516007,1.300987
2004,53737,421,182.433410,32.657839,1.670640
2513,54141,558,179.136910,22.461652,2.805181
2595,54207,608,181.764350,18.531776,1.309173
2597,54231,377,184.550270,18.092980,3.475429
2597,54231,537,185.365040,18.106708,4.035213
2004,53737,430,182.422250,32.476306,1.604054
2604,54484,514,198.989910,17.164961,4.740540
2609,54476,24,183.743000,19.516414,1.912911
2609,54476,46,182.837710,18.599745,0.803251
2609,54476,64,183.341360,19.499226,1.331469
2609,54476,169,182.490900,19.354831,0.635433
2004,53737,433,182.264880,32.668701,1.909226
2609,54476,309,181.106890,19.381403,2.619822
2004,53737,497,182.821650,32.593787,1.104330
2610,54476,69,185.318810,19.498806,1.653770
2610,54476,265,183.174110,19.438740,1.052101
2004,53737,501,183.265600,32.613405,0.619617
2004,53737,502,183.336540,32.674176,0.665805
2611,54477,128,185.682870,18.548552,3.407341
1975,53734,383,190.141150,32.580791,3.928645
2029,53819,384,195.685980,32.085039,2.545246
2612,54480,25,188.693050,19.423292,1.337812
2643,54208,493,180.469630,22.531423,3.134298
2095,53474,504,181.198420,32.496776,1.834816
2643,54208,499,180.396930,22.592861,3.273148
2095,53474,506,181.150370,32.597362,1.873829
1994,53845,400,193.241810,32.412314,3.130395
2504,54179,434,173.138400,22.115852,2.092473
2504,54179,475,173.372960,22.111558,1.715862
2504,54179,512,173.911620,22.315715,0.984524
2614,54481,109,191.961320,19.384184,5.851112
1975,53734,629,192.494880,32.388679,4.091698
2643,54208,353,179.601060,22.466642,3.501398
2598,54232,448,187.145620,18.590173,3.498938
2601,54144,22,193.232650,17.454294,5.722298
2604,54484,191,198.459100,17.076235,4.344179
2604,54484,436,198.224730,17.153816,4.420145
2604,54484,487,198.738640,17.225155,4.705151
2604,54484,488,198.719900,17.232513,4.708887
2596,54207,461,183.049440,18.094021,1.746851
2596,54207,467,183.120280,17.972174,1.985809
2643,54208,424,179.902730,22.442396,3.950160
2643,54208,437,179.878670,22.530777,3.958767
2643,54208,480,180.196780,22.434816,3.531634
5969,56069,312,180.302440,22.617167,3.430313
2612,54480,252,186.835950,18.715468,3.682674
2613,54481,68,190.618860,19.466278,3.703219
5867,56034,321,198.986570,17.165043,4.738652
2233,53845,111,186.959760,26.993526,1.442859
2224,53815,135,178.658000,28.977662,1.918185
2225,53729,95,180.404490,28.968307,1.424410
2225,53729,283,179.229330,28.846107,1.089470
2225,53729,297,179.292600,28.887111,1.078991
2230,53799,4,184.788910,28.976452,2.377892
2230,53799,16,184.846100,28.989715,2.347710
2230,53799,19,184.845590,29.024059,2.288275
2230,53799,98,183.858490,29.113393,2.688922
2230,53799,126,183.778910,29.019393,2.891890
2232,53827,23,186.663680,29.633010,2.854765
2232,53827,66,186.448620,29.662970,2.541777
2232,53827,99,185.517800,29.068552,2.366588
2233,53845,26,187.285900,26.960352,1.421376
2234,53823,116,188.433640,29.628375,3.669958
2234,53823,120,188.179050,29.712392,3.632759
2234,53823,126,187.718730,28.971971,2.183598
2234,53823,296,186.786490,28.956533,2.171663
