#plate,mjd,fiberID,RA,Dec,d_per(Mpc),d_long(Mpc),length_fil(Mpc)
2242,54153,569,197.037940,27.826613,1.524392,16.488884,53.069707
2242,54153,524,196.846860,27.865527,1.238010,16.488884,53.069707
2242,54153,528,196.671350,27.884134,1.001282,16.488884,53.069707
2242,54153,578,197.125570,27.879273,1.603987,16.488884,53.069707
2236,53729,452,189.751450,28.314596,0.098509,5.197834,9.679746
2236,53729,459,189.479080,28.286074,0.063696,5.497972,9.679746
2236,53729,521,190.053200,28.360552,0.313795,4.548108,9.679746
2236,53729,531,189.789120,28.269848,0.195768,5.212111,9.679746
2243,53794,366,198.216040,27.880058,0.642242,24.634795,32.472266
2243,53794,407,198.362290,27.802378,0.548042,24.634795,32.472266
2243,53794,409,198.357080,27.763462,0.606237,24.634795,32.472266
2243,53794,452,198.657420,27.845570,0.312503,24.508204,32.472266
2242,54153,522,196.651640,27.872956,0.990946,16.488884,53.069707
2242,54153,523,196.580810,28.052507,0.721083,16.488884,53.069707
2238,54205,525,191.993680,28.173931,0.889765,4.590245,53.069707
2238,54205,566,192.103570,28.306890,1.174996,4.590245,53.069707
2238,54205,606,192.857140,28.120805,1.227938,8.480309,53.069707
2240,53823,365,193.474730,28.186591,1.274951,10.865445,53.069707
2240,53823,371,193.541620,28.092511,1.088762,10.865445,53.069707
2240,53823,373,193.281330,28.241254,1.479398,10.865445,53.069707
2240,53823,377,193.327480,28.211406,1.400949,10.865445,53.069707
2236,53729,449,189.555340,28.937016,0.337903,3.548719,9.679746
2236,53729,458,189.569250,28.882620,0.300748,3.548575,9.679746
2237,53828,219,189.835780,28.913154,0.086858,3.639866,9.679746
2237,53828,265,189.209380,29.555357,1.118415,2.942439,9.679746
2239,53726,4,193.236340,28.812082,2.334692,11.404515,53.069707
2240,53823,201,193.474050,26.684044,0.629333,9.929237,53.069707
2238,54205,145,192.100300,26.857910,0.035868,6.382234,53.069707
2238,54205,149,192.343240,26.743915,0.236582,6.757468,53.069707
2238,54205,155,192.165950,26.870408,0.001757,6.393473,53.069707
2239,53726,202,192.421970,28.844821,2.223978,4.590245,53.069707
2239,53726,206,192.145310,28.846961,2.043846,4.590245,53.069707
2239,53726,284,191.538000,28.958504,2.119418,4.590245,53.069707
2240,53823,93,193.905990,26.642128,0.891183,9.985022,53.069707
2240,53823,131,193.835180,26.799901,0.611299,9.985022,53.069707
2240,53823,134,193.647630,26.751402,0.538925,9.985022,53.069707
2240,53823,249,193.246000,26.720391,0.671192,9.911179,53.069707
2240,53823,259,192.981390,26.782889,0.598368,9.065370,53.069707
2011,53499,149,194.785670,28.728221,0.166506,7.958168,10.596468
2011,53499,225,194.538460,28.708593,0.543362,7.930584,10.596468
2011,53499,237,194.580640,28.698529,0.479423,7.912008,10.596468
2011,53499,263,194.235730,28.623357,0.988039,8.111331,10.596468
2011,53499,312,193.934560,28.754644,1.461017,7.666433,10.596468
2238,54205,25,193.151220,26.749888,0.653167,9.446800,53.069707
2234,53823,55,188.377540,28.935884,2.004300,5.351962,9.679746
2234,53823,60,188.207630,28.958780,2.235321,5.351962,9.679746
2238,54205,62,192.610820,26.708983,0.113136,7.095577,53.069707
2238,54205,69,192.584250,26.749856,0.031760,7.095577,53.069707
2236,53729,166,189.772760,26.914318,0.625536,1.003020,3.009042
2238,54205,70,192.610920,26.735335,0.079568,7.095577,53.069707
2238,54205,111,192.556090,26.776092,0.000705,7.126818,53.069707
2009,53904,508,197.825680,29.794071,0.257079,20.439725,53.069707
2009,53904,509,197.698520,29.709902,0.077287,20.447773,53.069707
2009,53904,514,197.756470,29.636703,0.018035,20.608124,53.069707
2011,53499,622,196.077810,30.284186,1.761669,4.532442,10.596468
2011,53499,623,196.516140,29.709713,1.462368,18.141429,53.069707
2011,53499,624,195.922980,29.818263,1.275876,6.195647,10.596468
2009,53904,360,196.287190,29.881011,1.750474,6.381120,10.596468
2009,53904,385,196.462510,29.809993,1.647825,18.141429,53.069707
2011,53499,518,195.004670,29.904059,0.071047,4.839270,10.596468
2011,53499,593,195.432850,29.926833,0.715443,5.514452,10.596468
2009,53904,326,196.534810,30.209270,1.890376,20.284938,53.069707
2660,54504,622,191.735290,25.621676,2.244191,6.341264,53.069707
2661,54505,408,192.397490,25.464283,2.270594,7.095577,53.069707
2009,53904,186,196.916560,28.828752,0.118599,18.718455,53.069707
2009,53904,196,197.063160,29.022994,0.013114,18.850234,53.069707
2009,53904,303,196.122150,28.987501,0.628392,17.288696,53.069707
2009,53904,306,196.161590,28.972686,0.592472,17.288696,53.069707
2011,53499,8,196.386900,29.011604,0.456321,17.985059,53.069707
2011,53499,13,196.439000,28.871331,0.239767,17.884298,53.069707
2011,53499,14,196.572070,29.063190,0.352828,18.141429,53.069707
2011,53499,15,196.236490,29.092447,0.723016,18.038126,53.069707
2011,53499,56,195.661200,29.075607,0.282685,6.470143,10.596468
2011,53499,57,196.074680,29.029535,0.717512,17.288696,53.069707
2011,53499,81,195.446130,29.076702,0.005752,6.611028,10.596468
2011,53499,97,195.513930,29.150491,0.059744,6.416196,10.596468
2011,53499,127,195.164800,29.019421,0.006637,7.022210,10.596468
2235,53847,163,187.938870,27.149513,1.105914,16.596805,19.762900
2235,53847,180,188.336070,27.110509,0.726759,16.596805,19.762900
2238,54205,31,193.049330,26.874809,0.445031,9.065370,53.069707
2238,54205,119,192.564460,27.060297,0.041508,7.784036,53.069707
2238,54205,146,192.260460,26.893135,0.012780,6.543620,53.069707
2238,54205,195,191.596300,27.112379,0.575950,5.805218,53.069707
2238,54205,272,190.688100,27.117523,0.543086,3.144252,53.069707
2240,53823,188,193.903930,26.911646,0.586351,9.985022,53.069707
2240,53823,228,193.346330,27.033475,0.106323,9.853307,53.069707
2241,54169,256,193.653410,26.934875,0.249787,9.985022,53.069707
2009,53904,146,197.377630,28.985963,0.315218,19.147658,53.069707
2009,53904,151,197.602060,28.967688,0.625727,19.147658,53.069707
2104,53852,392,198.453840,31.746279,1.491575,24.337648,53.069707
2112,53534,287,199.938300,31.872728,0.873340,27.777989,53.069707
2104,53852,354,198.186480,31.809384,1.746645,24.337648,53.069707
2009,53904,142,197.698020,28.995212,0.750097,19.178231,53.069707
2009,53904,170,197.213470,29.169668,0.036801,19.251495,53.069707
2009,53904,173,197.090160,29.228431,0.242501,19.584438,53.069707
2011,53499,72,195.449270,28.660214,0.695396,6.587851,10.596468
2011,53499,260,194.084450,29.300144,1.506669,7.616698,10.596468
2011,53499,616,196.556670,29.141454,0.487573,18.141429,53.069707
2009,53904,392,196.498480,29.278818,0.741824,18.141429,53.069707
2009,53904,396,196.355240,29.296482,0.867341,18.141429,53.069707
2009,53904,199,196.949590,29.152963,0.282665,18.811827,53.069707
2009,53904,225,196.638100,29.184085,0.533711,18.141429,53.069707
2237,53828,221,189.914970,29.609609,0.126578,2.279116,9.679746
2011,53499,85,195.497250,28.709476,0.616364,6.581921,10.596468
2011,53499,87,195.354480,28.677235,0.553268,8.503047,10.596468
2011,53499,91,195.430530,29.178359,0.032659,6.444609,10.596468
2011,53499,132,195.198470,29.200788,0.253359,7.473913,10.596468
2011,53499,371,194.048250,29.398249,1.509231,5.216461,10.596468
2011,53499,411,194.213310,29.378187,1.290035,5.216461,10.596468
2011,53499,492,195.355280,29.313739,0.052642,6.308659,10.596468
2011,53499,533,195.517500,29.253455,0.153854,6.433929,10.596468
2011,53499,537,195.482640,29.322785,0.191486,6.207377,10.596468
2242,54153,394,195.449910,27.354816,0.048488,34.776909,40.744559
2242,54153,520,196.575880,27.255051,1.096419,33.707531,40.744559
2235,53847,165,188.071960,27.290677,1.173842,16.596805,19.762900
2236,53729,109,190.379650,27.243128,0.332987,1.267845,3.009042
2236,53729,151,189.981780,27.410645,0.036845,2.185609,3.009042
2240,53823,185,193.836640,27.149684,0.424260,10.156435,53.069707
2240,53823,189,193.673390,27.041476,0.177742,9.985022,53.069707
2241,54169,297,193.317130,27.094439,0.012793,9.916278,53.069707
2235,53847,173,188.269580,27.298723,1.068858,16.596805,19.762900
2235,53847,473,187.828470,27.449652,0.978918,2.209432,2.633469
2235,53847,479,187.959950,27.386892,1.208958,2.209432,2.633469
2235,53847,486,187.994390,27.833906,1.122580,2.329607,2.633469
2236,53729,23,191.109750,27.192779,0.421862,3.484244,53.069707
2236,53729,71,190.696650,27.271939,0.347421,3.144252,53.069707
2236,53729,73,190.885520,27.297542,0.131446,3.144252,53.069707
2236,53729,278,188.571430,27.452304,0.979050,6.626799,9.679746
2236,53729,319,188.333840,27.450560,1.307762,16.596805,19.762900
2236,53729,348,188.567070,27.862249,1.013725,6.219723,9.679746
2236,53729,382,189.077870,27.753628,0.214953,6.311514,9.679746
2236,53729,597,190.851400,27.687163,0.109979,2.601728,53.069707
2236,53729,598,190.772310,27.714077,0.001573,2.522878,53.069707
2238,54205,156,192.255230,27.177732,0.431162,7.786473,53.069707
2238,54205,305,190.202960,27.270956,0.105181,1.392722,3.009042
2240,53823,306,192.256210,27.179136,0.429794,7.789020,53.069707
2011,53499,305,193.844040,28.467896,1.433502,11.404515,53.069707
2235,53847,478,187.836440,27.528984,0.934767,2.209432,2.633469
2235,53847,587,189.190700,27.566833,0.009754,6.641080,9.679746
2235,53847,598,189.201550,27.548942,0.004266,6.644307,9.679746
2236,53729,346,188.422340,27.459133,1.235870,7.862743,9.679746
2236,53729,448,189.613750,28.480076,0.259684,5.147211,9.679746
2236,53729,525,190.024910,28.617817,0.000351,4.158845,9.679746
2237,53828,201,190.025100,28.617121,0.000533,4.158792,9.679746
2238,54205,415,191.449350,28.419334,1.223776,4.590245,53.069707
2238,54205,479,191.581150,27.536765,0.114762,4.426663,53.069707
2238,54205,482,191.846380,27.465000,0.008382,5.179463,53.069707
2238,54205,552,192.299420,27.385029,0.448847,7.924874,53.069707
2238,54205,555,192.286830,27.368769,0.450147,7.924874,53.069707
2238,54205,628,193.203730,27.401853,0.466518,9.484386,53.069707
2238,54205,640,193.037480,27.477281,0.305388,8.604916,53.069707
2239,53726,210,192.315490,28.497509,1.632284,4.590245,53.069707
2240,53823,364,193.480730,28.393867,1.521349,11.404515,53.069707
2240,53823,370,193.637330,28.376784,1.379367,11.404515,53.069707
2240,53823,375,193.223280,28.371275,1.720518,10.865445,53.069707
2240,53823,401,194.014990,28.434770,1.276132,12.554246,53.069707
2240,53823,404,193.740700,28.308434,1.208630,11.404515,53.069707
2240,53823,406,193.723690,28.416984,1.394810,11.404515,53.069707
2240,53823,410,193.993320,28.407369,1.246075,12.554246,53.069707
2243,53794,445,198.708210,28.018984,0.020338,24.451365,32.472266
2243,53794,448,198.758960,28.036359,0.037527,24.435605,32.472266
2009,53904,136,197.534560,28.289906,1.417625,18.976939,53.069707
2011,53499,262,194.090790,28.486920,1.194741,8.111331,10.596468
2235,53847,565,188.613600,28.718607,1.490520,5.351962,9.679746
2002,53471,387,199.434430,29.646088,0.790048,27.477789,32.472266
2002,53471,465,199.941710,29.692528,1.558096,27.477789,32.472266
2009,53904,425,196.906730,29.926779,1.140320,20.221417,53.069707
2011,53499,301,193.852190,28.571252,1.559284,8.111331,10.596468
2234,53823,1,188.548300,28.873966,1.735747,5.351962,9.679746
2235,53847,419,187.750830,28.828742,1.967460,2.329607,2.633469
2237,53828,216,189.698520,28.841742,0.121134,3.548575,9.679746
2238,54205,410,191.397310,28.761906,1.818682,4.590245,53.069707
2029,53819,58,197.136460,30.748172,2.065649,20.439725,53.069707
2011,53499,258,194.119660,29.137087,1.315368,7.616698,10.596468
2234,53823,111,188.409140,29.450670,2.240248,3.865640,9.679746
2237,53828,227,189.614590,29.436131,0.469399,2.989484,9.679746
2029,53819,27,197.761560,31.404070,1.684151,24.337648,53.069707
2241,54169,36,195.522990,27.297267,0.169212,34.689823,40.744559
2242,54153,512,196.648330,27.168724,1.158616,33.707531,40.744559
2234,53823,106,188.200870,29.390856,2.524451,3.669495,9.679746
2237,53828,33,191.692850,29.388622,2.049460,8.662519,34.572312
2237,53828,160,190.545410,29.447502,0.422309,1.767576,9.679746
2011,53499,166,194.575990,29.128801,0.750689,7.616698,10.596468
2011,53499,202,194.297480,29.045069,1.002949,7.616698,10.596468
2237,53828,188,190.234300,29.465580,0.094582,1.836333,9.679746
2011,53499,206,194.256750,29.062623,1.071854,7.616698,10.596468
2011,53499,213,194.440290,29.129994,0.898622,7.616698,10.596468
2011,53499,215,194.528540,29.034578,0.690941,7.616698,10.596468
2011,53499,216,194.446000,29.149507,0.914208,7.616698,10.596468
2011,53499,217,194.280110,29.062793,1.040033,7.616698,10.596468
2011,53499,297,193.526530,29.242676,2.419923,2.121307,10.596468
2237,53828,313,188.849900,29.492086,1.606060,2.957535,9.679746
2240,53823,97,194.085410,26.704025,1.014190,9.985022,53.069707
2243,53794,417,198.478480,28.295788,0.160806,25.365866,32.472266
2241,54169,131,194.538580,26.664096,1.456661,12.027157,53.069707
2002,53471,293,199.184340,28.200144,0.689013,24.237309,32.472266
2002,53471,296,199.201520,28.361781,0.920502,24.181190,32.472266
2241,54169,218,194.180010,26.741963,1.101547,9.985022,53.069707
2242,54153,144,196.454570,26.431035,0.891868,33.050687,40.744559
2242,54153,165,196.070770,26.475387,0.357948,33.064927,40.744559
2235,53847,590,189.135100,28.028718,0.223197,5.863721,9.679746
2236,53729,510,190.245700,27.970378,0.033896,1.445698,53.069707
2238,54205,430,191.184200,27.891555,0.617759,3.752090,53.069707
2238,54205,464,191.485520,27.844616,0.343980,4.595864,53.069707
2238,54205,478,191.544830,27.937770,0.393793,4.590245,53.069707
2238,54205,484,191.719190,27.790852,0.103188,4.590245,53.069707
2238,54205,504,192.243530,27.835823,0.880827,5.163057,53.069707
2238,54205,549,192.281680,27.797290,0.875615,5.163057,53.069707
2238,54205,591,192.725230,27.841830,0.757949,8.480309,53.069707
2238,54205,633,193.123570,27.803024,0.817482,8.480309,53.069707
2240,53823,242,193.001520,26.159173,1.244455,7.095577,53.069707
2240,53823,253,193.023020,26.198576,1.206524,7.095577,53.069707
2240,53823,399,193.407810,27.784300,0.717411,10.865445,53.069707
2242,54153,543,196.906720,27.499154,1.729815,16.488884,53.069707
2242,54153,551,196.929790,27.509662,1.739675,16.488884,53.069707
2009,53904,386,196.348400,29.510409,1.199861,18.141429,53.069707
2009,53904,387,196.563010,29.366150,0.862522,18.141429,53.069707
2011,53499,521,195.601510,29.451601,0.476405,6.195647,10.596468
2011,53499,609,196.637590,29.365619,0.848233,18.141429,53.069707
2009,53904,493,197.317030,29.367659,0.044468,19.616998,53.069707
2009,53904,75,198.396990,29.126530,0.475297,26.418594,32.472266
2009,53904,397,196.687580,29.371624,0.858052,18.141429,53.069707
2009,53904,400,196.410720,29.350205,0.907734,18.141429,53.069707
2009,53904,433,196.845800,29.401171,0.739164,18.811827,53.069707
2011,53499,528,195.615830,29.487589,0.538117,6.195647,10.596468
2241,54169,344,193.581400,28.091322,1.013049,11.358823,53.069707
2239,53726,173,192.349050,29.321293,2.343258,8.410101,34.572312
2239,53726,175,192.178120,29.239260,2.394238,8.662941,34.572312
2239,53726,182,192.159930,29.190340,2.468300,8.650178,34.572312
2239,53726,183,192.125960,29.260151,2.338262,8.650178,34.572312
2239,53726,307,190.980440,29.369608,1.089714,1.767576,9.679746
2241,54169,21,196.356680,27.079644,0.686612,33.707531,40.744559
2241,54169,22,195.636440,27.295559,0.077209,34.478725,40.744559
2241,54169,26,196.348720,27.101621,0.681469,33.707531,40.744559
2242,54153,440,195.655630,27.176138,0.223065,34.371427,40.744559
2029,53819,75,197.590040,31.378232,1.890857,24.337648,53.069707
2029,53819,113,196.910200,31.486973,2.892464,22.845494,53.069707
2239,53726,232,191.852230,29.207387,2.366513,8.650178,34.572312
2009,53904,518,197.757150,29.578351,0.047804,20.575876,53.069707
2009,53904,389,196.392970,29.653186,1.408800,18.141429,53.069707
2002,53471,358,199.116520,29.419842,0.467111,27.561562,32.472266
2009,53904,383,196.594510,29.657546,1.217711,19.439234,53.069707
2009,53904,621,198.656950,29.318045,0.145766,27.418653,32.472266
2029,53819,39,197.903120,31.508057,1.611347,24.337648,53.069707
2009,53904,479,197.109920,29.754449,0.710757,20.208652,53.069707
2009,53904,483,197.280310,29.831009,0.612598,20.035010,53.069707
2029,53819,610,197.669690,32.295663,2.864170,24.337648,53.069707
2009,53904,627,198.913810,29.610836,0.026212,27.506848,32.472266
2240,53823,233,193.347820,27.513074,0.479937,10.487751,53.069707
2009,53904,97,197.742420,28.518886,1.281197,19.207730,53.069707
2009,53904,107,197.898600,29.063003,0.823340,21.312145,53.069707
2660,54504,372,189.731930,26.073017,0.998747,0.000000,3.009042
2660,54504,446,190.381120,26.042664,0.882926,0.000000,3.009042
2011,53499,2,196.522940,28.592952,0.197110,17.671418,53.069707
2011,53499,3,196.314110,28.626428,0.019718,17.439542,53.069707
2011,53499,5,196.277640,28.641152,0.012533,17.443228,53.069707
2011,53499,31,196.323140,28.582735,0.096636,17.437211,53.069707
2011,53499,35,196.054700,28.542447,0.046130,17.001959,53.069707
2009,53904,237,196.695450,29.130708,0.441427,18.155134,53.069707
2009,53904,246,196.666260,28.517510,0.442122,17.867405,53.069707
2009,53904,253,196.729000,28.548029,0.462612,17.822815,53.069707
2235,53847,615,189.337830,28.208164,0.102484,5.379238,9.679746
2235,53847,617,189.333650,28.147234,0.098987,5.485056,9.679746
2238,54205,542,192.434880,27.669650,0.663956,8.099909,53.069707
2238,54205,550,192.436230,27.591775,0.541724,8.099909,53.069707
2238,54205,556,192.445420,27.640752,0.611513,8.099909,53.069707
2009,53904,256,196.832430,28.500596,0.639901,18.338296,53.069707
2009,53904,263,196.243250,29.122243,0.747056,17.994284,53.069707
2009,53904,266,196.243200,29.194659,0.839549,17.985059,53.069707
2239,53726,192,192.024790,29.443179,1.994547,8.650178,34.572312
2009,53904,274,196.589410,29.170120,0.521146,18.141429,53.069707
2239,53726,320,190.869530,29.466803,0.890310,1.767576,9.679746
