#plate,mjd,fiberID
2229,53823,322
2229,53823,326
2240,53823,535
2240,53823,536
2240,53823,537
2240,53823,538
2240,53823,540
2229,53823,371
2229,53823,375
2229,53823,402
2231,53816,536
2231,53816,537
2231,53816,538
2231,53816,565
2231,53816,573
2231,53816,574
2231,53816,579
2231,53816,607
2231,53816,610
2242,54153,537
2242,54153,569
2241,54169,489
2241,54169,506
2241,54169,509
2241,54169,522
2241,54169,524
2241,54169,530
2241,54169,533
2241,54169,534
2241,54169,535
2241,54169,536
2241,54169,537
2241,54169,560
2241,54169,563
2241,54169,573
2241,54169,576
2241,54169,538
2241,54169,540
2241,54169,556
2241,54169,577
2227,53820,448
2242,54153,524
2242,54153,528
2242,54153,531
2242,54153,578
2236,53729,452
2236,53729,459
2236,53729,521
2236,53729,531
2241,54169,446
2241,54169,447
2241,54169,448
2241,54169,452
2241,54169,455
2241,54169,456
2241,54169,458
2241,54169,462
2241,54169,465
2241,54169,481
2496,54178,618
2241,54169,590
2241,54169,597
2241,54169,606
2241,54169,610
2241,54169,613
2657,54502,78
2241,54169,614
2241,54169,615
2241,54169,616
2241,54169,620
2242,54153,321
2227,53820,572
2227,53820,579
2229,53823,339
2242,54153,325
2242,54153,362
2242,54153,369
2242,54153,371
2242,54153,372
2229,53823,579
2242,54153,380
2242,54153,402
2231,53816,321
2231,53816,404
2231,53816,413
2231,53816,460
2242,54153,404
2242,54153,405
2242,54153,408
2242,54153,411
2242,54153,522
2242,54153,523
2233,53845,325
2233,53845,326
2233,53845,327
2233,53845,329
2233,53845,336
2233,53845,373
2233,53845,374
2233,53845,376
2233,53845,378
2233,53845,412
2233,53845,413
2233,53845,415
2233,53845,420
2233,53845,442
2238,54205,525
2238,54205,606
2240,53823,365
2240,53823,371
2240,53823,373
2240,53823,377
2240,53823,403
2240,53823,407
2240,53823,409
2240,53823,442
2240,53823,445
2240,53823,446
2240,53823,448
2240,53823,450
2240,53823,453
2507,53876,463
2596,54207,427
2095,53474,624
2500,54178,476
2004,53737,342
2004,53737,381
2004,53737,385
2511,53882,526
2004,53737,430
2609,54476,169
2004,53737,433
2609,54476,309
2504,54179,475
2504,54179,512
2643,54208,353
2643,54208,424
2230,53799,4
2230,53799,16
2230,53799,19
2232,53827,99
2235,53847,62
2235,53847,65
2235,53847,66
2235,53847,101
2235,53847,104
2235,53847,105
2235,53847,112
2235,53847,115
2235,53847,143
2235,53847,158
2217,53794,15
2239,53726,4
2240,53823,201
2609,54476,311
2645,54477,404
2513,54141,379
2608,54474,261
2609,54476,358
2609,54476,392
2645,54477,368
2645,54477,450
2655,54184,191
2655,54184,192
2596,54207,347
2238,54205,145
2238,54205,149
2238,54205,155
2240,53823,91
2240,53823,93
2240,53823,131
2240,53823,134
2240,53823,249
2240,53823,259
2608,54474,156
2241,54169,369
2656,54484,155
2657,54502,209
2656,54484,173
2656,54484,193
2656,54484,195
2011,53499,149
2011,53499,225
2011,53499,237
2011,53499,263
2011,53499,312
2232,53827,283
2238,54205,25
2656,54484,198
2497,54154,45
2501,54084,202
2504,54179,73
2504,54179,76
2504,54179,77
2236,53729,108
2236,53729,146
2236,53729,159
2238,54205,62
2238,54205,69
2657,54502,212
2507,53876,240
2509,54180,151
2509,54180,161
2509,54180,178
2509,54180,187
2509,54180,200
2511,53882,44
2511,53882,60
2511,53882,91
2511,53882,95
2236,53729,166
2655,54184,40
2236,53729,229
2513,54141,228
2513,54141,240
2513,54141,271
2513,54141,272
2236,53729,231
2236,53729,235
2236,53729,240
2513,54141,273
2513,54141,274
2513,54141,275
2236,53729,310
2657,54502,124
2656,54484,151
2238,54205,70
2238,54205,111
2657,54502,202
2595,54207,388
2595,54207,393
2595,54207,421
2595,54207,429
2595,54207,623
2595,54207,625
2009,53904,574
2009,53904,577
2011,53499,623
2009,53904,360
2009,53904,385
2221,53792,251
2509,54180,201
2514,53882,540
2500,54178,324
2500,54178,328
2500,54178,362
2500,54178,404
2500,54178,408
2500,54178,409
2500,54178,419
2500,54178,447
2500,54178,448
2500,54178,452
2504,54179,321
2504,54179,330
2505,53856,515
2505,53856,558
2505,53856,586
2505,53856,589
2507,53876,330
2511,53882,623
2513,54141,324
2513,54141,340
2513,54141,564
2514,53882,378
2514,53882,401
2514,53882,409
2514,53882,418
2656,54484,367
2656,54484,406
2656,54484,407
2656,54484,413
2656,54484,414
2657,54502,542
2657,54502,548
2009,53904,172
2009,53904,186
2009,53904,196
2009,53904,303
2009,53904,306
2011,53499,8
2011,53499,13
2011,53499,14
2011,53499,15
2011,53499,56
2011,53499,57
2011,53499,81
2011,53499,97
2011,53499,99
2011,53499,121
2011,53499,127
2218,53816,461
2218,53816,466
2223,53793,429
2226,53819,384
2226,53819,424
2226,53819,587
2226,53819,596
2226,53819,608
2226,53819,609
2226,53819,632
2226,53819,637
2226,53819,639
2227,53820,357
2227,53820,503
2227,53820,505
2227,53820,555
2227,53820,589
2231,53816,596
2235,53847,61
2235,53847,64
2235,53847,70
2235,53847,74
2235,53847,102
2235,53847,180
2236,53729,155
2236,53729,238
2238,54205,31
2238,54205,63
2238,54205,119
2238,54205,146
2238,54205,195
2238,54205,272
2240,53823,163
2240,53823,167
2240,53823,188
2240,53823,190
2240,53823,228
2240,53823,230
2241,54169,129
2241,54169,132
2241,54169,134
2241,54169,138
2241,54169,139
2241,54169,256
2009,53904,144
2009,53904,146
2009,53904,148
2009,53904,151
2009,53904,159
2229,53823,393
2497,54154,141
2514,53882,627
2514,53882,630
2514,53882,635
2218,53816,469
2231,53816,505
2004,53737,271
2004,53737,313
2104,53852,424
2104,53852,427
2104,53852,429
2104,53852,431
2656,54484,373
2104,53852,474
2009,53904,125
2009,53904,131
2009,53904,134
2009,53904,138
2009,53904,139
2009,53904,142
2009,53904,164
2009,53904,170
2009,53904,173
2011,53499,72
2011,53499,260
2011,53499,616
2009,53904,392
2009,53904,396
2223,53793,531
2226,53819,606
2226,53819,607
2229,53823,341
2009,53904,199
2229,53823,581
2229,53823,587
2009,53904,225
2231,53816,540
2231,53816,583
2231,53816,603
2231,53816,611
2233,53845,333
2233,53845,377
2231,53816,547
2240,53823,157
2240,53823,159
2240,53823,160
2240,53823,176
2240,53823,177
2240,53823,178
2240,53823,194
2011,53499,85
2241,54169,162
2011,53499,87
2011,53499,91
2011,53499,102
2011,53499,115
2011,53499,132
2011,53499,191
2011,53499,197
2011,53499,199
2011,53499,36
2011,53499,371
2011,53499,411
2011,53499,492
2011,53499,533
2011,53499,537
2240,53823,120
2242,54153,360
2242,54153,394
2242,54153,520
2240,53823,142
2240,53823,153
2231,53816,600
2235,53847,118
2236,53729,109
2236,53729,151
2236,53729,466
2238,54205,26
2238,54205,29
2238,54205,118
2240,53823,165
2240,53823,166
2240,53823,179
2240,53823,185
2240,53823,189
2240,53823,193
2240,53823,222
2240,53823,240
2241,54169,297
2240,53823,112
2240,53823,115
2240,53823,141
2240,53823,143
2240,53823,144
2095,53474,630
2095,53474,638
2240,53823,146
2231,53816,473
2231,53816,587
2231,53816,591
2231,53816,593
2233,53845,395
2233,53845,399
2506,54179,433
2506,54179,464
2506,54179,466
2506,54179,474
2506,54179,479
2506,54179,486
2506,54179,488
2233,53845,475
2506,54179,600
2506,54179,633
2506,54179,638
2233,53845,493
2509,54180,149
2509,54180,173
2509,54180,180
2509,54180,395
2509,54180,396
2509,54180,399
2509,54180,423
2509,54180,462
2509,54180,475
2509,54180,479
2509,54180,480
2509,54180,493
2509,54180,499
2509,54180,511
2509,54180,512
2509,54180,519
2509,54180,554
2515,54180,400
2235,53847,73
2235,53847,78
2235,53847,173
2596,54207,346
2235,53847,588
2235,53847,630
2236,53729,23
2236,53729,34
2236,53729,71
2236,53729,73
2236,53729,278
2236,53729,382
2236,53729,467
2236,53729,481
2236,53729,491
2236,53729,500
2236,53729,508
2236,53729,597
2236,53729,598
2238,54205,156
2238,54205,305
2004,53737,464
2004,53737,489
2240,53823,69
2240,53823,103
2240,53823,110
2241,54169,147
2241,54169,150
2240,53823,261
2502,54180,509
2502,54180,540
2502,54180,547
2502,54180,557
2502,54180,559
2506,54179,337
2240,53823,306
2011,53499,74
2011,53499,305
2227,53820,443
2231,53816,449
2231,53816,452
2233,53845,330
2233,53845,340
2233,53845,410
2233,53845,450
2235,53847,587
2235,53847,598
2235,53847,625
2236,53729,346
2236,53729,448
2236,53729,480
2236,53729,493
2238,54205,38
2238,54205,79
2238,54205,80
2238,54205,479
2238,54205,482
2238,54205,511
2238,54205,552
2238,54205,555
2238,54205,557
2238,54205,593
2238,54205,596
2238,54205,628
2238,54205,640
2240,53823,264
2240,53823,268
2240,53823,271
2240,53823,364
2240,53823,370
2240,53823,375
2240,53823,401
2240,53823,404
2240,53823,406
2240,53823,410
2240,53823,452
2240,53823,523
2240,53823,526
2240,53823,530
2240,53823,563
2240,53823,567
2240,53823,568
2240,53823,612
2240,53823,620
2241,54169,330
2241,54169,371
2241,54169,374
2241,54169,380
2241,54169,407
2241,54169,443
2241,54169,450
2241,54169,454
2241,54169,457
2241,54169,459
2241,54169,529
2241,54169,562
2241,54169,571
2241,54169,579
2241,54169,580
2241,54169,601
2241,54169,602
2241,54169,612
2242,54153,364
2242,54153,365
2242,54153,370
2242,54153,376
2242,54153,403
2242,54153,414
2242,54153,416
2242,54153,417
2242,54153,419
2242,54153,533
2242,54153,534
2242,54153,566
2242,54153,570
2506,54179,463
2506,54179,469
2506,54179,471
2506,54179,476
2506,54179,477
2506,54179,626
2507,53876,433
2509,54180,352
2509,54180,400
2509,54180,424
2509,54180,428
2509,54180,465
2509,54180,483
2509,54180,488
2009,53904,126
2009,53904,127
2009,53904,129
2009,53904,136
2011,53499,71
2011,53499,73
2011,53499,75
2011,53499,77
2011,53499,78
2011,53499,227
2011,53499,229
2011,53499,232
2011,53499,262
2502,54180,521
2502,54180,525
2502,54180,527
2009,53904,585
2242,54153,615
2504,54179,86
2506,54179,361
2506,54179,362
2506,54179,363
2509,54180,603
2509,54180,607
2509,54180,609
2509,54180,610
2009,53904,201
2009,53904,203
2009,53904,205
2009,53904,207
2009,53904,219
2009,53904,247
2009,53904,250
2009,53904,260
2241,54169,328
2509,54180,550
2509,54180,576
2509,54180,578
2509,54180,584
2515,54180,323
2515,54180,327
2515,54180,329
2515,54180,331
2515,54180,362
2515,54180,363
2515,54180,364
2515,54180,406
2009,53904,299
2011,53499,21
2011,53499,61
2011,53499,63
2011,53499,65
2011,53499,68
2011,53499,101
2011,53499,110
2011,53499,112
2011,53499,120
2011,53499,181
2011,53499,182
2011,53499,186
2011,53499,187
2011,53499,188
2011,53499,192
2011,53499,200
2011,53499,222
2011,53499,239
2011,53499,301
2498,54169,615
2502,54180,366
2504,54179,124
2504,54179,125
2504,54179,130
2506,54179,411
2506,54179,425
2506,54179,430
2506,54179,456
2506,54179,459
2506,54179,460
2221,53792,241
2507,53876,207
2511,53882,39
2511,53882,67
2513,54141,244
2608,54474,338
2221,53792,87
2221,53792,91
2506,54179,378
2509,54180,563
2509,54180,565
2509,54180,566
2509,54180,572
2509,54180,620
2609,54476,322
2609,54476,334
2610,54476,564
2643,54208,86
2643,54208,121
2643,54208,122
2643,54208,123
2643,54208,124
2643,54208,125
3170,54859,568
2104,53852,245
2239,53726,529
2011,53499,258
2240,53823,164
