#plate,mjd,fiberID,RA,Dec,z,zErr
1612,53149,532,183.31097,12.99766,0.0268624,1.746921E-05
1612,53149,534,183.2828,12.918225,0.02691429,9.675557E-06
1613,53115,383,183.69706,13.085106,0.01970316,3.32066E-05
1603,53119,438,165.14751,12.161569,0.02118536,8.491765E-06
1603,53119,461,165.24634,12.200559,0.02705761,7.007523E-06
1603,53119,471,165.20472,12.129594,0.02578726,4.6625E-06
1609,53142,605,178.475,13.278114,0.02446606,8.080608E-06
1610,53144,326,178.14898,13.460181,0.02163744,2.536139E-05
2229,53823,322,181.80073,28.350432,0.02684633,9.717367E-06
2229,53823,326,181.74336,28.3272,0.02783919,7.674389E-06
1611,53147,430,180.67331,13.059406,0.03128114,8.851307E-06
1611,53147,437,180.68076,12.957855,0.02304474,1.668971E-05
1611,53147,484,181.29296,12.997678,0.02263723,1.498867E-05
1613,53115,358,183.27999,12.926255,0.02742022,6.349333E-06
1613,53115,503,184.72038,12.989795,0.02713615,4.182564E-05
1613,53115,509,184.75726,12.927652,0.02445246,1.766036E-05
1613,53115,511,184.7494,12.947137,0.02796301,2.449343E-05
1614,53120,341,184.71043,12.996402,0.02439137,3.275603E-05
1614,53120,342,184.65584,12.937666,0.02534755,1.168473E-05
1614,53120,350,184.75763,12.928679,0.02489544,7.622656E-05
1614,53120,467,185.85097,12.946626,0.0253487,1.0617E-05
2240,53823,535,194.63296,28.049618,0.01903112,8.931004E-06
2240,53823,536,194.60637,28.128927,0.02736316,8.231835E-06
2240,53823,537,194.68397,28.048969,0.0295911,3.789481E-05
2240,53823,538,194.55751,28.182548,0.02395133,8.865578E-06
2240,53823,540,194.71176,28.006998,0.02490416,2.78202E-05
1761,53376,548,176.83205,15.474928,0.02143776,9.993437E-06
1761,53376,556,176.82007,15.323327,0.02137126,1.77588E-05
1766,53468,386,183.10144,15.481213,0.02100718,6.535923E-06
1766,53468,422,183.58894,15.521083,0.02536419,5.906587E-06
1766,53468,468,183.63913,15.198912,0.02334907,7.921395E-06
1771,53498,329,193.86727,15.882506,0.02210405,6.580085E-06
1993,53762,476,202.9235,34.81574,0.02355932,1.44202E-05
1993,53762,480,203.08929,34.719096,0.02526259,4.540884E-06
1993,53762,488,203.50543,34.734794,0.02413185,1.229805E-05
2229,53823,371,182.09419,28.333677,0.02728619,8.539687E-06
2229,53823,375,181.93161,28.319952,0.02933146,9.814459E-06
2229,53823,402,182.38472,28.517147,0.0277117,1.14468E-05
2229,53823,409,182.64299,28.395997,0.02803876,2.769851E-05
2229,53823,455,182.81964,28.519513,0.02889244,6.246269E-06
2230,53799,501,184.09043,30.464553,0.0263526,2.05043E-05
2231,53816,536,184.91074,28.495407,0.02768378,1.014187E-05
2231,53816,537,184.91263,28.391035,0.02734301,1.09228E-05
2231,53816,538,184.89591,28.354102,0.02839841,1.249439E-05
2231,53816,565,185.43388,28.412516,0.02254431,5.761937E-06
2231,53816,573,185.18755,28.460332,0.02683766,1.414769E-05
2231,53816,574,185.09034,28.516494,0.02775027,2.92309E-05
2231,53816,579,185.08628,28.384091,0.02751768,1.088896E-05
2231,53816,607,185.5041,28.431079,0.027227,8.665949E-06
2231,53816,610,185.71537,28.353367,0.02744042,4.602025E-06
2242,54153,537,196.80502,28.046955,0.02435262,9.524885E-06
2242,54153,569,197.03794,27.826613,0.02306341,1.01552E-05
2241,54169,489,194.79811,28.009268,0.022995,1.937235E-05
2241,54169,506,194.94556,27.991918,0.0280615,4.255464E-05
2241,54169,509,194.90828,28.001016,0.01658908,2.236452E-05
2241,54169,522,195.32942,28.128144,0.0227095,2.0353E-05
2241,54169,524,195.20335,28.158341,0.01936991,7.893767E-06
2241,54169,530,195.22692,28.007637,0.01662251,9.836128E-06
2241,54169,533,195.28931,28.033114,0.02342906,1.263027E-05
2241,54169,534,195.21314,28.047132,0.0211638,2.863144E-05
2241,54169,535,195.32435,28.097072,0.02682218,2.96175E-05
2241,54169,536,195.18598,28.100633,0.0220089,8.45578E-06
2241,54169,537,195.30693,28.083119,0.01937423,2.357412E-05
2241,54169,560,195.02662,28.004129,0.02424595,8.421789E-06
2241,54169,563,195.39685,28.146952,0.01759234,2.413948E-05
2241,54169,573,195.40553,28.015771,0.02383511,2.688416E-05
2241,54169,576,195.36311,27.999199,0.025495,8.214365E-06
1605,53062,323,169.27873,12.925354,0.01961944,1.621512E-05
1605,53062,362,169.33126,12.959933,0.02011247,6.089349E-06
2243,53794,608,199.8667,27.748974,0.02324149,6.61969E-06
2243,53794,619,199.91697,27.70606,0.02313203,6.012017E-06
