Dec,RA,fiberID,mjd,plate
28.350432,181.80073,322,53823,2229
28.3272,181.74336,326,53823,2229
28.049618,194.63296,535,53823,2240
28.128927,194.60637,536,53823,2240
28.048969,194.68397,537,53823,2240
28.182548,194.55751,538,53823,2240
28.006998,194.71176,540,53823,2240
28.333677,182.09419,371,53823,2229
28.319952,181.93161,375,53823,2229
28.517147,182.38472,402,53823,2229
28.395997,182.64299,409,53823,2229
28.519513,182.81964,455,53823,2229
30.464553,184.09043,501,53799,2230
28.495407,184.91074,536,53816,2231
28.391035,184.91263,537,53816,2231
28.354102,184.89591,538,53816,2231
28.412516,185.43388,565,53816,2231
28.460332,185.18755,573,53816,2231
28.516494,185.09034,574,53816,2231
28.384091,185.08628,579,53816,2231
28.431079,185.5041,607,53816,2231
28.353367,185.71537,610,53816,2231
28.046955,196.80502,537,54153,2242
27.826613,197.03794,569,54153,2242
28.009268,194.79811,489,54169,2241
27.991918,194.94556,506,54169,2241
28.001016,194.90828,509,54169,2241
28.128144,195.32942,522,54169,2241
28.158341,195.20335,524,54169,2241
28.007637,195.22692,530,54169,2241
28.033114,195.28931,533,54169,2241
28.047132,195.21314,534,54169,2241
28.097072,195.32435,535,54169,2241
28.100633,195.18598,536,54169,2241
28.083119,195.30693,537,54169,2241
28.004129,195.02662,560,54169,2241
28.146952,195.39685,563,54169,2241
28.015771,195.40553,573,54169,2241
27.999199,195.36311,576,54169,2241
27.748974,199.8667,608,53794,2243
27.70606,199.91697,619,53794,2243
28.06205,195.27356,538,54169,2241
28.090731,195.2027,540,54169,2241
27.987589,195.01851,556,54169,2241
28.095,195.4459,577,54169,2241
28.311572,181.51325,448,53820,2227
27.865527,196.84686,524,54153,2242
27.884134,196.67135,528,54153,2242
28.064535,196.53972,531,54153,2242
27.879273,197.12557,578,54153,2242
28.314596,189.75145,452,53729,2236
28.286074,189.47908,459,53729,2236
28.360552,190.0532,521,53729,2236
28.269848,189.78912,531,53729,2236
29.939184,173.0602,387,53795,2220
30.263768,175.60742,617,53795,2220
30.230299,175.575,618,53795,2220
28.108398,195.12898,446,54169,2241
28.16005,195.12579,447,54169,2241
28.146129,195.14822,448,54169,2241
28.045118,195.17164,452,54169,2241
28.063914,195.07095,455,54169,2241
28.014528,195.16151,456,54169,2241
28.047011,195.09223,458,54169,2241
28.018733,194.70065,462,54169,2241
28.040934,194.78943,465,54169,2241
27.996739,194.85437,481,54169,2241
27.880058,198.21604,366,53794,2243
27.802378,198.36229,407,53794,2243
27.763462,198.35708,409,53794,2243
27.713019,198.47782,418,53794,2243
27.84557,198.65742,452,53794,2243
27.733764,199.04972,529,53794,2243
27.750143,199.35377,561,53794,2243
