# x,y,z,Mass,SM,GALEX_FUV,GALEX_NUV,SDSS_r,g_minus_r,u_minus_r
8.939888000488281250e+01,5.782939147949218750e+01,1.164847278594970703e+01,3.889794048000000000e+09,2.874957312000000000e+09,-1.461679935455322266e+01,-1.471984195709228516e+01,-1.814824104309082031e+01,5.135440826416015625e-01,1.430839538574218750e+00
9.606580352783203125e+01,5.612503814697265625e+01,9.662265777587890625e+01,2.025495756800000000e+10,5.184059392000000000e+09,-1.446844291687011719e+01,-1.507511329650878906e+01,-1.928608131408691406e+01,5.288505554199218750e-01,1.593822479248046875e+00
6.629801177978515625e+01,8.081584167480468750e+01,9.183571624755859375e+01,2.098958745600000000e+10,1.516165248000000000e+09,-1.727048301696777344e+01,-1.730413055419921875e+01,-1.898697853088378906e+01,1.839866638183593750e-01,8.236255645751953125e-01
7.806195831298828125e+01,6.260275650024414062e+01,6.918000030517578125e+01,2.424704000000000000e+10,2.147823360000000000e+09,-1.679399681091308594e+01,-1.685243415832519531e+01,-1.874136161804199219e+01,3.804206848144531250e-01,1.249849319458007812e+00
9.973422241210937500e+01,7.145731353759765625e+01,3.623988342285156250e+01,2.654607564800000000e+10,2.283568128000000000e+09,-1.552701091766357422e+01,-1.581229686737060547e+01,-1.875707817077636719e+01,3.887119293212890625e-01,1.341524124145507812e+00
3.472122192382812500e+01,1.599824142456054688e+01,5.804067611694335938e+01,2.656507904000000000e+10,1.565195136000000000e+09,-1.792270278930664062e+01,-1.793888092041015625e+01,-1.919194412231445312e+01,1.501083374023437500e-01,8.037147521972656250e-01
1.322906112670898438e+01,9.795854187011718750e+01,5.936240005493164062e+01,2.689367040000000000e+10,1.422688384000000000e+09,-1.733682441711425781e+01,-1.737935066223144531e+01,-1.910022544860839844e+01,1.327247619628906250e-01,7.605857849121093750e-01
1.500004386901855469e+01,7.815180969238281250e+01,5.314955520629882812e+01,2.831752806400000000e+10,2.490064128000000000e+09,-1.666889572143554688e+01,-1.683139419555664062e+01,-1.910862350463867188e+01,3.384590148925781250e-01,1.258916854858398438e+00
6.892388916015625000e+01,7.325092315673828125e+01,3.645031356811523438e+01,2.917174272000000000e+10,3.158643456000000000e+09,-1.599663066864013672e+01,-1.620080947875976562e+01,-1.916275787353515625e+01,4.042549133300781250e-01,1.341295242309570312e+00
7.005716323852539062e+00,3.567346572875976562e+01,5.669723510742187500e+01,2.951386112000000000e+10,4.608620032000000000e+09,-1.710902786254882812e+01,-1.725566291809082031e+01,-1.974759101867675781e+01,2.928371429443359375e-01,1.108154296875000000e+00
7.486104965209960938e+00,3.885070037841796875e+01,9.334604644775390625e+01,3.022114816000000000e+10,2.839785472000000000e+09,-1.600665092468261719e+01,-1.615788459777832031e+01,-1.881230926513671875e+01,4.189872741699218750e-01,1.355424880981445312e+00
4.752484130859375000e+01,7.949582672119140625e+01,1.061033535003662109e+01,3.033859891200000000e+10,2.521715456000000000e+09,-1.611578178405761719e+01,-1.627102088928222656e+01,-1.879673576354980469e+01,4.451713562011718750e-01,1.462980270385742188e+00
1.705447578430175781e+01,7.802454376220703125e+01,5.359533691406250000e+01,3.049471385600000000e+10,5.755506688000000000e+09,-1.574509239196777344e+01,-1.596276950836181641e+01,-1.927193832397460938e+01,5.085010528564453125e-01,1.481916427612304688e+00
7.991934204101562500e+01,9.439628601074218750e+01,4.552597045898437500e+01,3.124010598400000000e+10,2.055722752000000000e+09,-1.535274887084960938e+01,-1.555970478057861328e+01,-1.829952430725097656e+01,3.286247253417968750e-01,1.080797195434570312e+00
5.120663452148437500e+01,9.184917449951171875e+01,6.058134460449218750e+01,3.128722841600000000e+10,9.721576448000000000e+09,-1.680255126953125000e+01,-1.697268295288085938e+01,-1.992823791503906250e+01,3.419647216796875000e-01,1.182798385620117188e+00
7.091946601867675781e+00,3.992457199096679688e+01,8.310444641113281250e+01,3.229472358400000000e+10,5.513047552000000000e+09,-1.592265415191650391e+01,-1.616999244689941406e+01,-1.935759353637695312e+01,3.687686920166015625e-01,1.246412277221679688e+00
7.811831665039062500e+01,7.851242065429687500e+01,4.314065551757812500e+01,3.348872192000000000e+10,6.064932864000000000e+09,-1.512976932525634766e+01,-1.559174060821533203e+01,-1.942662429809570312e+01,4.303169250488281250e-01,1.369113922119140625e+00
7.786507415771484375e+01,9.115214538574218750e+01,4.839023113250732422e+00,3.462829260800000000e+10,2.412152832000000000e+09,-1.571694946289062500e+01,-1.588345718383789062e+01,-1.868461227416992188e+01,2.980251312255859375e-01,1.036695480346679688e+00
4.517594337463378906e+00,2.348000717163085938e+01,6.908987426757812500e+01,3.477550694400000000e+10,1.883416320000000000e+09,-1.578640460968017578e+01,-1.594058418273925781e+01,-1.851564216613769531e+01,4.032211303710937500e-01,1.364521026611328125e+00
5.811846923828125000e+01,8.548062896728515625e+01,2.466738510131835938e+01,3.556381081600000000e+10,1.663511040000000000e+09,-1.542915821075439453e+01,-1.560401535034179688e+01,-1.828586959838867188e+01,4.224433898925781250e-01,1.386615753173828125e+00
1.586110401153564453e+01,2.488721275329589844e+01,6.330696487426757812e+01,3.700005683200000000e+10,2.730432256000000000e+09,-1.592524528503417969e+01,-1.618629074096679688e+01,-1.901544570922851562e+01,4.267787933349609375e-01,1.510097503662109375e+00
6.313916015625000000e+01,5.463574981689453125e+01,8.919362640380859375e+01,3.767492198400000000e+10,8.460774912000000000e+09,-1.546356582641601562e+01,-1.578604698181152344e+01,-1.944396209716796875e+01,4.932518005371093750e-01,1.510721206665039062e+00
