# x,y,z,Mass,SM,GALEX_FUV,GALEX_NUV,Metal,g_minus_r,u_minus_r
6.763255310058593750e+01,9.851334381103515625e+01,1.635576367378234863e+00,2.873078272000000000e+09,1.143387008000000000e+09,-1.608505058288574219e+01,-1.621324539184570312e+01,1.792533509433269501e-02,2.096843719482421875e-01,9.314613342285156250e-01
9.968669128417968750e+01,7.073622131347656250e+01,3.641830062866210938e+01,3.767151360000000000e+09,1.383956096000000000e+09,-1.658865928649902344e+01,-1.663102912902832031e+01,2.491168677806854248e-02,1.490173339843750000e-01,6.538619995117187500e-01
5.201695251464843750e+01,9.417853546142578125e+01,9.245866394042968750e+01,4.554398720000000000e+09,2.127861888000000000e+09,-1.478713417053222656e+01,-1.498535251617431641e+01,4.050982370972633362e-02,1.895675659179687500e-01,6.812725067138671875e-01
4.939500045776367188e+01,2.920511484146118164e+00,7.513882446289062500e+01,5.303719424000000000e+09,1.427880064000000000e+09,-1.634486579895019531e+01,-1.652993011474609375e+01,2.223462052643299103e-02,2.711696624755859375e-01,1.062944412231445312e+00
8.625118255615234375e+01,1.114789676666259766e+01,9.652481842041015625e+01,5.304079872000000000e+09,1.030438464000000000e+09,-1.652957534790039062e+01,-1.657474327087402344e+01,1.290079578757286072e-02,2.503700256347656250e-01,9.869041442871093750e-01
7.372520446777343750e+00,3.921670532226562500e+01,5.332357025146484375e+01,5.414336512000000000e+09,1.189091712000000000e+09,-1.515344715118408203e+01,-1.527010440826416016e+01,2.114947885274887085e-02,2.888336181640625000e-01,9.863739013671875000e-01
9.520660400390625000e+01,1.242918777465820312e+01,9.818692016601562500e+01,5.640638464000000000e+09,1.794682752000000000e+09,-1.598793029785156250e+01,-1.605727386474609375e+01,2.262952178716659546e-02,3.356094360351562500e-01,1.175256729125976562e+00
9.934078216552734375e+01,4.969746780395507812e+01,5.842358779907226562e+01,6.807022080000000000e+09,1.605539968000000000e+09,-1.555272483825683594e+01,-1.577017974853515625e+01,1.767487451434135437e-02,3.353729248046875000e-01,1.266241073608398438e+00
5.560758209228515625e+01,4.327913665771484375e+01,2.864704895019531250e+01,6.867854848000000000e+09,3.124275456000000000e+09,-1.568252754211425781e+01,-1.570869159698486328e+01,2.149586006999015808e-02,4.669036865234375000e-01,1.330770492553710938e+00
5.753432464599609375e+01,8.391447448730468750e+01,6.090181827545166016e+00,7.141484032000000000e+09,1.223967488000000000e+09,-1.722396850585937500e+01,-1.721304512023925781e+01,1.398587971925735474e-02,2.395477294921875000e-01,9.261169433593750000e-01
8.770594787597656250e+01,8.695294857025146484e-01,2.652852821350097656e+01,7.684255232000000000e+09,3.145125120000000000e+09,-1.571960926055908203e+01,-1.583700275421142578e+01,3.126576542854309082e-02,2.466030120849609375e-01,8.999996185302734375e-01
5.338666152954101562e+01,3.999535751342773438e+01,9.605554962158203125e+01,8.056673280000000000e+09,1.256240128000000000e+09,-1.686173629760742188e+01,-1.689438629150390625e+01,1.600834354758262634e-02,2.106361389160156250e-01,9.200267791748046875e-01
4.452738952636718750e+01,3.965426635742187500e+01,7.212128448486328125e+01,8.149675008000000000e+09,1.537529088000000000e+09,-1.601099205017089844e+01,-1.620483016967773438e+01,1.377632282674312592e-02,3.002433776855468750e-01,1.168397903442382812e+00
6.827783966064453125e+01,8.056822967529296875e+01,8.183037567138671875e+01,8.161405440000000000e+09,1.126856064000000000e+09,-1.668016052246093750e+01,-1.670923614501953125e+01,1.420542877167463303e-02,2.253055572509765625e-01,8.761863708496093750e-01
5.363737487792968750e+01,4.383816909790039062e+01,8.699636077880859375e+01,8.731074560000000000e+09,1.460981632000000000e+09,-1.618266487121582031e+01,-1.623011398315429688e+01,1.416527386754751205e-02,3.525485992431640625e-01,1.232719421386718750e+00
