#x,y,z,Mass,SM,GALEX_FUV,GALEX_NUV,SDSS_r,g_minus_r,u_minus_r
24.097183,68.677010,31.728895,2309516544.000000,1037967552.000000,-15.501438,-15.602003,-18.098749,0.198055,0.870277
25.908447,96.813286,36.920372,5112159232.000000,1769865344.000000,-15.251894,-15.414083,-18.269043,0.304955,1.122850
95.670029,10.239060,96.360626,5251765760.000000,2121748736.000000,-15.666400,-15.790170,-18.422499,0.402508,1.238928
93.765648,10.850821,99.884125,6799049728.000000,1321954560.000000,-16.035191,-16.103334,-18.376663,0.217234,0.882401
52.817535,5.900251,74.328568,8168830464.000000,1161423232.000000,-15.799962,-15.916251,-18.356359,0.315722,1.104893
68.427170,4.085403,11.084562,8394818560.000000,3403732992.000000,-15.589231,-15.868093,-18.844154,0.177313,0.829409
50.862431,40.449780,51.557793,8783926272.000000,1148201600.000000,-16.605785,-16.616488,-18.433422,0.237196,0.849968
61.778545,44.201366,22.158262,8793029632.000000,1631752832.000000,-15.542720,-15.629289,-18.108530,0.287651,0.972445
4.373204,0.834051,73.625511,9496050688.000000,1161121152.000000,-15.723742,-15.891694,-18.355251,0.386093,1.411316
1.821160,61.923832,52.983379,10095392768.000000,1804180608.000000,-16.254799,-16.295519,-18.447277,0.317188,1.153028
70.458923,97.465294,50.577988,10134418432.000000,1164739200.000000,-16.586845,-16.618137,-18.321539,0.210997,0.875170
91.244904,60.298683,27.340025,11022878720.000000,1452418304.000000,-17.111530,-17.083536,-18.572054,0.238787,0.909018
76.939560,43.105896,78.067207,11812641792.000000,2726470912.000000,-15.413877,-15.721106,-18.881208,0.401690,1.320116
38.015907,24.057003,4.009463,12062945280.000000,1079798144.000000,-17.278641,-17.252390,-18.741289,0.155584,0.769424
62.084038,22.661163,72.338303,13416068096.000000,1350004992.000000,-16.792515,-16.814917,-18.521152,0.280542,1.035023
71.550323,52.250942,77.995911,16142004224.000000,4406606336.000000,-16.780079,-16.844908,-19.146555,0.288225,1.015671
46.213387,9.257994,3.972698,16190001152.000000,1047630464.000000,-15.668120,-15.767739,-18.146101,0.320189,1.160971
55.032269,16.557083,4.723547,16229965824.000000,4643643392.000000,-16.886660,-16.976044,-19.347200,0.320581,1.083181
73.282875,72.735336,57.466290,16553400320.000000,4065325312.000000,-15.957692,-16.148834,-19.119221,0.384020,1.272631
77.164696,73.582481,50.451702,17211914240.000000,5390278144.000000,-16.597914,-16.646364,-19.167456,0.141193,0.641100
44.610645,43.303730,33.845299,18252677120.000000,2910170624.000000,-16.501854,-16.641388,-19.186378,0.348345,1.191923
21.682226,60.572189,50.671772,18375622656.000000,1179360256.000000,-17.568506,-17.583771,-19.075201,0.184139,0.887926
80.170181,48.212505,50.200569,18702921728.000000,1182677760.000000,-16.545252,-16.614092,-18.579773,0.314754,1.200075
48.855988,31.415112,55.755268,18825854976.000000,3736024320.000000,-17.105295,-17.192816,-19.518417,0.218288,0.899837
91.790077,49.384212,69.185905,19562276864.000000,4985248256.000000,-15.522034,-15.618181,-18.922762,0.545048,1.596512
59.119785,41.473812,92.823158,19629942784.000000,1638159744.000000,-16.977247,-17.045460,-18.854170,0.243069,1.005501
81.625313,1.672332,46.698097,19654985728.000000,1561089920.000000,-15.689005,-15.821853,-18.393631,0.364855,1.236330
15.184688,60.222912,15.756298,19892465664.000000,2097127040.000000,-16.473564,-16.635839,-18.812140,0.259068,1.056753
70.965500,27.622610,47.878784,20271312896.000000,1220842496.000000,-16.915937,-16.997292,-18.781908,0.235151,1.000134
85.364929,6.196667,31.098944,20587386880.000000,1647732992.000000,-15.421330,-15.575788,-18.182076,0.397615,1.308849
4.865175,57.468124,39.020885,20979277824.000000,1955822848.000000,-15.851146,-16.009867,-18.595818,0.401300,1.383638
45.464767,88.512520,94.475983,21066551296.000000,1203250304.000000,-16.818220,-16.860237,-18.672310,0.209951,0.930735
14.466438,89.918709,41.471848,21563443200.000000,1261529344.000000,-16.782835,-16.880772,-18.796623,0.225475,0.984882
83.882812,1.960027,31.579409,21910433792.000000,1008928128.000000,-15.927321,-16.037853,-18.055622,0.285439,1.092424
88.203468,17.136065,28.408102,22994728960.000000,1254805760.000000,-16.867802,-16.901546,-18.672180,0.218483,0.914333
93.247284,12.842591,55.364777,23190226944.000000,2609221888.000000,-15.790777,-15.882385,-18.648624,0.346577,1.173428
55.390816,67.028915,1.043012,23215296512.000000,6380535296.000000,-16.751820,-16.788023,-19.219152,0.352493,1.075996
17.115524,18.133047,91.925110,23362953216.000000,1513862656.000000,-17.224754,-17.297886,-19.031082,0.239548,1.030020
99.004105,14.199534,92.873001,23632818176.000000,3672238848.000000,-16.250629,-16.439514,-19.292288,0.276867,0.997066
23.487001,26.570549,60.416004,24138815488.000000,1798255104.000000,-14.981984,-15.157908,-18.179741,0.373350,1.244358
81.891830,42.425907,86.388176,24172226560.000000,1965873792.000000,-15.990732,-16.131742,-18.619522,0.353249,1.177908
94.115669,21.379335,46.414604,24490897408.000000,1231451136.000000,-16.201874,-16.243471,-18.271832,0.324730,1.133261
99.432655,71.736801,49.989723,24551829504.000000,5957966848.000000,-16.502050,-16.616882,-19.273964,0.406073,1.280197
58.397789,41.829082,97.329010,24563789824.000000,1357042304.000000,-16.420265,-16.509800,-18.538702,0.246384,0.972406
35.925297,94.823509,40.359222,24778668032.000000,1838601856.000000,-15.848622,-16.059643,-18.675735,0.400675,1.398752
50.960667,98.064987,4.630723,25007386624.000000,1255115264.000000,-16.646526,-16.669052,-18.268890,0.303011,1.039190
92.083664,49.877941,68.427742,25480220672.000000,1275120128.000000,-16.822796,-16.774448,-18.346718,0.120222,0.576078
51.619446,28.117355,12.215998,25751552000.000000,1515746816.000000,-16.234676,-16.367430,-18.608950,0.352758,1.287704
75.368958,93.330948,99.786407,26265270272.000000,4281562624.000000,-16.256569,-16.486092,-19.453733,0.321381,1.254732
37.958580,88.478676,76.762726,26440155136.000000,1702407424.000000,-17.008696,-17.056875,-19.046984,0.204113,0.891260
74.019455,98.919258,24.260992,26547083264.000000,7666789376.000000,-16.244717,-16.375563,-19.335533,0.399244,1.259718
91.199921,56.275513,37.100662,27453997056.000000,4146226944.000000,-16.092386,-16.275440,-19.132301,0.437899,1.423006
87.637039,12.670318,27.343807,27537037312.000000,1376578944.000000,-16.672029,-16.729630,-18.575563,0.283611,1.080067
4.746097,57.442303,38.878326,27971620864.000000,3334949376.000000,-14.767033,-15.069057,-18.743196,0.454781,1.374695
22.184378,77.358383,65.222641,28530233344.000000,4376119296.000000,-17.467196,-17.531191,-19.645920,0.279024,0.988802
39.346870,37.546886,93.708641,29118894080.000000,5809795072.000000,-15.464890,-15.742914,-19.267914,0.506615,1.548323
28.522413,39.028252,1.393832,29682538496.000000,3907231744.000000,-15.685299,-15.969881,-19.093267,0.475697,1.588633
33.852943,62.226120,46.707268,30086051840.000000,1309690624.000000,-15.885456,-15.977185,-18.277449,0.388542,1.317709
55.995403,43.176258,28.734690,30262353920.000000,2895832320.000000,-15.884239,-16.087027,-18.888746,0.292524,0.996361
94.454895,8.811990,40.570827,30699747328.000000,8652153856.000000,-16.808956,-16.933910,-19.733046,0.300020,1.010532
