#x,y,z,d_per(Mpc),d_long(Mpc),length_fil(Mpc),Mass,SM,GALEX_FUV,GALEX_NUV,SDSS_r,g_minus_r,u_minus_r
91.322754,65.251488,48.485325,0.199326,375.451302,23.079053,91623079936.000000,1924838912.000000,-16.174246,-16.315605,-18.521177,0.354834,1.234314
84.807877,61.526581,41.026119,0.345552,727.252182,39.693855,134252167168.000000,1915106816.000000,-16.721972,-16.789402,-18.667072,0.350271,1.250408
86.795082,64.717476,45.761944,0.665573,495.572434,23.079053,141189840896.000000,2713157888.000000,-16.141144,-16.192905,-18.543934,0.380100,1.211082
87.815437,65.436554,47.148121,0.313241,455.561441,23.079053,157612998656.000000,2984381696.000000,-16.733252,-16.742409,-18.808535,0.367762,1.219988
92.481857,66.035400,47.662022,0.498603,332.907674,55.756588,247635820544.000000,3167925504.000000,-16.391851,-16.487383,-18.865938,0.408941,1.343647
78.062157,58.206367,40.984707,0.726019,643.698992,31.575949,249897304064.000000,9362415616.000000,-16.805864,-16.954416,-19.827156,0.532467,1.635464
97.845016,71.373787,49.882759,0.409225,151.116356,55.756588,269522747392.000000,2354274304.000000,-15.821373,-15.973701,-18.609798,0.496168,1.604864
91.233810,65.176735,48.493313,0.186529,375.331656,23.079053,271226437632.000000,1788562176.000000,-16.368582,-16.381187,-18.237043,0.463097,1.475342
86.734535,65.344215,46.515118,0.212669,495.378892,28.602543,290184953856.000000,2858348800.000000,-17.134422,-17.186935,-19.095699,0.311762,1.155863
90.342445,64.996925,48.512562,0.219350,375.334162,23.079053,372623507456.000000,2569280256.000000,-16.777018,-16.811747,-18.831945,0.295904,1.036674
85.468826,65.242790,46.252682,0.602040,495.056817,31.575949,531803734016.000000,9853541376.000000,-17.981775,-18.054180,-20.223804,0.360699,1.225489
85.350433,61.557281,41.373505,0.850254,727.036094,39.693855,556003164160.000000,11797513216.000000,-16.796873,-16.963274,-20.137928,0.514526,1.591894
98.561913,71.733559,49.069530,0.215084,151.165010,55.756588,1176481038336.000000,26599645184.000000,-16.015890,-16.344109,-20.377474,0.716934,2.209209
88.396370,65.420525,47.184193,0.234305,416.298810,23.079053,1347464593408.000000,36114231296.000000,-18.488075,-18.647993,-21.320040,0.442625,1.389051
86.859146,65.082008,45.952190,0.339625,495.280523,23.079053,1385404170240.000000,20987418624.000000,-16.453325,-16.642975,-20.367554,0.697613,2.125397
88.081047,60.922092,35.696362,0.570897,474.076226,23.114554,55618629632.000000,10827129856.000000,-16.572908,-16.761755,-19.958202,0.437389,1.348001
