#x,y,z,SM,Metal,u_minus_r,g_minus_r
59.312294,24.479542,0.490913,3176570624.000000,0.038944,2.761624,0.873711
80.687202,4.453511,69.767906,1113027072.000000,0.020066,1.084377,0.327440
49.395000,2.920511,75.138824,1427880064.000000,0.022235,1.062944,0.271170
25.766340,47.919331,97.247643,1792969856.000000,0.020444,2.409780,0.767511
47.242092,0.067165,1.709890,1284120960.000000,0.010263,1.331102,0.433023
30.457565,13.034080,0.018878,5009721344.000000,0.036268,2.565897,0.802380
91.546783,53.940315,36.973423,2205419520.000000,0.017890,2.166258,0.670912
0.000258,81.364159,71.586716,3414436608.000000,0.022708,1.555525,0.497673
44.527390,39.654266,72.121284,1537529088.000000,0.013776,1.168398,0.300243
68.277840,80.568230,81.830376,1126856064.000000,0.014205,0.876186,0.225306
85.563629,83.782768,99.996063,5108038144.000000,0.016666,2.392733,0.761473
94.782639,8.780556,40.461605,1030831616.000000,0.011645,1.548676,0.460108
77.848900,97.389381,41.432716,1032828928.000000,0.010623,1.765084,0.556112
52.231281,32.524090,19.182215,1513120512.000000,0.017025,2.316875,0.738739
50.284096,33.082630,83.317070,1263402496.000000,0.014652,1.971328,0.625761
59.413395,53.265388,72.586899,2034426240.000000,0.014954,1.455584,0.444159
41.591423,18.793764,4.078598,1745608064.000000,0.017890,2.342627,0.753328
78.023117,96.281723,8.250465,1822180480.000000,0.016547,2.347566,0.751602
70.144836,94.755966,74.635834,2020207232.000000,0.015510,0.972889,0.269907
82.071259,1.865110,46.930187,1303256704.000000,0.013219,1.080217,0.271530
39.545631,21.168018,5.531897,1201304832.000000,0.012483,1.583715,0.485870
41.503693,18.857756,4.074591,1138641792.000000,0.014080,1.965590,0.581633
11.130921,76.506783,59.870140,2247663360.000000,0.014957,1.615360,0.516882
82.222099,2.189439,68.977242,1186602496.000000,0.013878,1.323521,0.381050
74.318703,1.156815,98.422646,1074273792.000000,0.012135,0.852064,0.191525
28.254711,76.486137,67.909889,1720759552.000000,0.014586,1.549381,0.497747
60.045723,62.917164,83.140968,1269969024.000000,0.013017,2.173967,0.680098
81.676643,42.355564,86.554871,1723818496.000000,0.012564,1.234743,0.334013
41.737785,18.822638,4.300040,2208764672.000000,0.013078,1.927248,0.630415
60.283531,41.255287,22.337645,2634753536.000000,0.016283,2.157040,0.663105
66.952888,51.648655,86.351196,2458404864.000000,0.016524,1.467218,0.477566
22.220535,50.336353,98.655304,2581222656.000000,0.016880,1.038763,0.299076
0.700802,62.956589,51.843430,1567512448.000000,0.012904,0.943701,0.270023
35.115604,87.847519,0.965166,1023828096.000000,0.014520,1.858812,0.594080
44.662560,49.748493,1.135014,1328635392.000000,0.012930,1.837467,0.510630
70.032494,97.704742,50.810490,1171128320.000000,0.012785,1.167103,0.321465
73.511093,75.674751,65.702347,1360810112.000000,0.014554,2.056870,0.655224
80.562271,97.930878,46.518917,3884954112.000000,0.017668,0.898726,0.251186
98.747940,0.364642,41.662876,1108705152.000000,0.009387,0.891779,0.169619
78.275345,71.046761,66.723885,2415277568.000000,0.013003,0.777401,0.141092
70.625435,27.467936,48.004284,1096246144.000000,0.010643,0.789686,0.148485
0.896838,62.940395,51.780235,3421507584.000000,0.018039,1.592354,0.542356
10.502295,56.105083,62.706524,3798838528.000000,0.018086,1.380110,0.429060
23.730549,26.523777,60.336113,1597306880.000000,0.012092,0.821169,0.176250
40.856411,15.384406,5.903415,1647012352.000000,0.015384,1.992793,0.637964
41.075508,15.473630,5.924838,1093657600.000000,0.014155,1.722534,0.502520
90.968033,40.046757,52.135632,3563532800.000000,0.013939,0.937799,0.226217
44.241550,43.430424,33.839832,3213943808.000000,0.013035,1.124084,0.288517
0.403344,75.160416,47.771648,3726076416.000000,0.017301,1.268955,0.370455
75.740669,27.442991,59.604568,1611360256.000000,0.015318,1.133953,0.326391
81.420235,4.824317,68.920952,5417444352.000000,0.019739,1.233732,0.403904
55.913967,64.051743,84.308975,1069385216.000000,0.015248,1.383698,0.413662
88.618248,17.248802,28.181215,1086320128.000000,0.011336,1.028927,0.259750
21.374058,7.759198,72.107193,1424396800.000000,0.013812,1.249054,0.335920
23.852484,96.178192,94.286232,2446077184.000000,0.017385,1.128092,0.338026
