#x,y,z,d_per(Mpc),d_long(Mpc),length_fil(Mpc),SM,Metal,u_minus_r,g_minus_r
86.251183,11.147897,96.524818,0.000019,58.677537,7.573486,1030438464.000000,0.012901,0.986904,0.250370
95.206604,12.429188,98.186920,0.044979,0.020687,9.272814,1794682752.000000,0.022630,1.175257,0.335609
93.851227,10.842746,99.966637,0.691522,2.635086,7.050610,2047566592.000000,0.013597,1.064501,0.278599
96.854408,12.460815,93.531845,1.527516,9.388706,7.050610,1632076672.000000,0.011947,1.159641,0.316927
95.750801,10.243944,96.338905,0.222765,7.691451,9.272814,11048833024.000000,0.020929,1.363857,0.442787
96.589882,12.471005,93.660942,1.574554,9.627602,7.050610,4708868096.000000,0.018219,1.374905,0.430843
94.215164,10.460503,99.476204,0.473620,2.572011,7.050610,1244033408.000000,0.013687,1.105888,0.345062
95.776085,12.333645,98.174500,0.000114,2.959847,7.050610,4306583552.000000,0.014782,1.226616,0.373373
89.720116,12.616682,95.800964,0.003914,69.169352,9.492906,1520227840.000000,0.015580,1.365622,0.447184
95.296814,15.065930,94.113739,2.595103,10.072497,7.050610,1536944640.000000,0.015090,2.198774,0.696127
96.319138,10.876422,95.519302,0.525827,7.968508,9.272814,3530993664.000000,0.015727,1.867327,0.601948
94.068481,12.585021,97.158745,1.026967,1.158810,7.050610,2511964160.000000,0.016821,1.401579,0.450899
87.376572,11.325146,96.350479,0.237888,59.801545,7.573486,3730081024.000000,0.015401,1.274935,0.379560
95.500946,12.389914,98.138443,0.031376,2.717327,7.050610,8195202560.000000,0.017893,1.401863,0.443520
93.084389,13.110230,96.196426,1.588544,11.663478,14.421649,2197613824.000000,0.012401,1.054855,0.287786
86.251152,11.153930,96.518814,0.003908,58.679338,9.492906,4592301568.000000,0.011017,0.956427,0.243969
91.022896,13.585518,95.530884,0.382967,70.769408,9.492906,10375132160.000000,0.019447,1.486023,0.491646
96.630272,14.212936,94.310585,1.093724,9.577354,7.050610,4276187648.000000,0.013012,1.429180,0.451946
93.869133,10.834617,99.947952,0.698205,2.613589,7.050610,4264956672.000000,0.016503,0.900517,0.241930
97.427101,13.034510,94.873940,0.003503,9.749476,7.050610,9840846848.000000,0.020313,2.079441,0.656605
96.832916,12.915666,98.528831,0.610650,1.626324,9.272814,23321413632.000000,0.020192,1.312763,0.419447
94.841690,12.092115,98.141731,0.000132,3.388134,9.272814,34456322048.000000,0.024679,2.371666,0.743439
95.217743,12.382122,98.176353,0.000051,0.000044,9.272814,10244183040.000000,0.014805,1.072073,0.306377
96.715706,12.611514,93.685066,1.430262,9.512096,7.050610,26247682048.000000,0.016399,2.111368,0.693336
95.788368,10.104021,96.305618,0.221068,7.824023,9.272814,26332940288.000000,0.018148,2.360023,0.766115
84.170998,30.123465,87.285858,0.000064,3.327377,6.067325,3387458560.000000,0.015419,1.299068,0.410315
83.919273,29.964235,87.197952,0.068838,0.087585,15.909628,1569009024.000000,0.009568,0.776915,0.162859
84.326408,30.435923,83.932388,0.043435,7.921299,7.135988,1102204928.000000,0.013852,1.913119,0.606625
90.694489,20.821938,84.359978,0.941062,22.619279,22.455807,2842098688.000000,0.015357,0.930754,0.211840
83.578026,29.247259,85.678360,0.241329,4.483341,15.909628,1071327936.000000,0.011760,1.573492,0.488297
84.389206,30.433722,83.343224,0.134808,8.173579,15.909628,1929564160.000000,0.011993,1.109434,0.304401
84.266579,30.833336,85.246048,0.519888,7.399056,7.135988,1501897856.000000,0.012264,1.364775,0.406593
83.738510,29.477623,85.750725,0.000105,4.322763,15.909628,2715417856.000000,0.016098,1.640329,0.544819
88.622139,21.462364,81.995659,0.000138,23.619839,17.140847,1473485696.000000,0.014219,2.017232,0.649042
83.054825,27.203106,81.054115,0.259481,12.986652,16.087729,1488265088.000000,0.014413,1.291574,0.402359
86.969215,21.965929,82.283524,1.296044,24.595735,17.140847,1664693504.000000,0.015597,1.575399,0.492880
84.154892,30.053141,87.269386,0.000133,3.307012,5.962588,10965262336.000000,0.018504,1.213964,0.349928
84.260193,30.387756,83.740723,0.027820,7.790815,7.135988,15095716864.000000,0.016740,2.006128,0.674057
83.519257,30.112148,89.146484,0.470140,1.867795,6.067325,3233833216.000000,0.013238,1.260893,0.356977
90.029022,18.698641,84.135841,0.000062,28.914985,17.140847,1087793024.000000,0.017192,1.786699,0.576443
85.616379,33.106232,89.395508,0.580637,11.716493,6.067325,1255637376.000000,0.015175,1.371952,0.452484
84.371964,30.657560,81.010284,0.252519,10.545378,15.909628,2070793472.000000,0.017108,1.241571,0.423727
83.670555,28.456274,82.575722,0.417877,11.581101,16.087729,1714873728.000000,0.012775,0.766954,0.170446
89.754715,21.530069,80.565765,1.075568,23.803381,22.455807,1953154944.000000,0.015180,1.117823,0.325361
84.291946,31.880863,86.352692,0.543293,5.462762,12.151871,3457323520.000000,0.013165,1.500130,0.433382
85.737999,25.983412,78.507507,0.543708,17.579211,17.140847,4940508672.000000,0.016281,1.412888,0.448914
93.567802,18.838980,84.433258,0.977858,33.528368,15.909628,3665226752.000000,0.013565,1.962978,0.614145
83.882416,30.332058,81.605385,0.027807,9.977354,7.135988,4444594176.000000,0.015805,1.068024,0.287283
