# x,y,z,M200,R500
8.794963836669921875e+01,5.054105377197265625e+01,4.482493400573730469e+00,8.380163188326400000e+13,5.747532958984375000e+02
7.273186492919921875e+01,2.866038894653320312e+01,2.674843215942382812e+01,9.601038680064000000e+13,6.236947021484375000e+02
8.483258056640625000e+01,4.733506011962890625e+01,8.138619422912597656e+00,1.002928382935040000e+14,6.292991943359375000e+02
6.124842834472656250e+01,3.307802200317382812e+01,2.023454856872558594e+01,1.112845823508480000e+14,6.491142578125000000e+02
7.784803009033203125e+01,7.696865844726562500e+01,4.227835845947265625e+01,1.380620592742400000e+14,5.713497924804687500e+02
7.613516235351562500e+01,8.922750091552734375e+01,4.188739395141601562e+01,1.384868919377920000e+14,6.764033813476562500e+02
1.811692047119140625e+01,7.988503265380859375e+01,5.351239013671875000e+01,1.721834772889600000e+14,7.480878295898437500e+02
1.095632171630859375e+01,8.129343414306640625e+01,5.489076995849609375e+01,1.849238099066880000e+14,7.565670166015625000e+02
9.122603416442871094e+00,3.503501510620117188e+01,5.452360153198242188e+01,2.894829432340480000e+14,9.171353759765625000e+02
5.242564773559570312e+01,4.996926784515380859e+00,2.012508201599121094e+01,2.938303225528320000e+14,9.271183471679687500e+02
5.717667102813720703e+00,7.561041259765625000e+01,4.747765350341796875e+01,3.418448021422080000e+14,8.968380126953125000e+02
