,x,y,z,SM,Metal,u_minus_r,g_minus_r
2,0.0176601763815,1376869504.0,0.789381027222,2.48143672943,28.5288066864,78.2418136597,59.6115951538
10,0.0252575259656,1612994432.0,0.806718826294,2.53806591034,84.9672622681,47.4989547729,8.15341663361
48,0.021077523008,1030588288.0,0.782232284546,2.44376564026,67.1387481689,31.1294994354,23.7017478943
81,0.0190489180386,1308115968.0,0.7672996521,2.39312267303,92.714012146,57.5182113647,1.67538654804
101,0.0152799468488,1040101824.0,0.721126556396,2.27268791199,82.2748413086,34.1186103821,9.22644710541
106,0.0130315208808,3572172544.0,0.762041091919,2.38649559021,72.7346191406,28.5031814575,26.7254695892
108,0.0131452707574,1409320448.0,0.745048522949,2.33296108246,88.2821121216,50.5816993713,4.15584182739
128,0.0132710449398,1037869632.0,0.618764877319,2.05883598328,77.1427383423,84.5005722046,10.6237306595
140,0.013918120414,1016589568.0,0.717166900635,2.22948646545,85.0665893555,47.7944107056,8.50833129883
144,0.0167555510998,1984455552.0,0.724813461304,2.2859582901,82.6560516357,37.7153129578,8.5231628418
164,0.0154374623671,1150273408.0,0.723421096802,2.26837062836,82.5915145874,37.5383987427,9.12784576416
174,0.0146732619032,1197371264.0,0.724409103394,2.26496219635,85.0981063843,47.4617805481,8.27872467041
177,0.0286005064845,2416061440.0,0.799787521362,2.52074146271,58.2754516602,41.7711868286,38.518737793
179,0.0115645313635,1034763840.0,0.694301605225,2.16016387939,67.2887191772,30.9509716034,23.4177455902
233,0.0280322879553,3221062400.0,0.653095245361,1.85229301453,50.2361068726,35.2814559937,41.6258010864
240,0.0154334232211,1346169472.0,0.74241065979,2.30979919434,72.7213516235,28.589635849,26.6914291382
246,0.0212389212102,1419709056.0,0.551219940186,1.67407989502,58.2250556946,37.6236991882,35.1774482727
263,0.0157124623656,1062829888.0,0.564050674438,1.9640789032,40.8884925842,19.4533634186,54.4946250916
265,0.015219326131,3696698624.0,0.770582199097,2.41277980804,88.0646286011,50.4673500061,4.47974014282
267,0.0179481524974,1843995264.0,0.733795166016,2.28981018066,98.3722381592,44.8556518555,0.192582860589
269,0.0127652417868,1102302720.0,0.513189315796,1.712059021,67.6195068359,72.8748321533,24.0104370117
283,0.0144881429151,1411043712.0,0.338706970215,1.14140892029,58.3419952393,65.0670166016,34.8890838623
298,0.0136265847832,1150354688.0,0.499361038208,1.62713050842,40.5742645264,18.1414299011,54.4707527161
308,0.0149959344417,1210619904.0,0.734994888306,2.29212760925,58.8412322998,41.7366027832,38.0389671326
314,0.0133457221091,1385646720.0,0.563938140869,1.96869468689,98.7281112671,3.69528436661,3.87464284897
320,0.00985038653016,1284132736.0,0.716869354248,2.23806476593,67.5059204102,30.8178482056,23.9977245331
325,0.0258245524019,4949251584.0,0.813510894775,2.5571603775,7.14675855637,39.8302764893,83.0377883911
333,0.0254879761487,3287658752.0,0.487714767456,1.4012928009,54.0237846375,95.760055542,30.5597896576
349,0.0140350172296,1300834816.0,0.191987991333,0.763664245605,45.5779495239,95.620262146,42.1533088684
