,Metal,SM,g_minus_r,u_minus_r,x,y,z
8,0.0310357455164,1684644096.0,0.830345153809,2.60799121857,62.0577430725,34.0742683411,20.8207416534
10,0.0252575259656,1612994432.0,0.806718826294,2.53806591034,84.9672622681,47.4989547729,8.15341663361
23,0.0139352753758,1714395904.0,0.77028465271,2.42441368103,61.3148002625,33.0524978638,20.2362785339
28,0.0289163570851,1698019328.0,0.822771072388,2.58752441406,61.3183174133,33.1540374756,20.2872600555
36,0.0257990173995,1449218560.0,0.796142578125,2.50057601929,47.820930481,80.3400115967,10.5740919113
60,0.0250650309026,1307572608.0,0.779609680176,2.4425945282,61.200969696,33.0342559814,20.1690006256
65,0.018147084862,1049802304.0,0.746103286743,2.34117126465,61.1233100891,33.1204681396,20.1555709839
77,0.018965119496,1144079616.0,0.7555103302,2.37176418304,68.2487258911,65.8228759766,6.78346443176
81,0.0190489180386,1308115968.0,0.7672996521,2.39312267303,92.714012146,57.5182113647,1.67538654804
86,0.0294146090746,1345502848.0,0.772542953491,2.45933437347,8.26737785339,56.1178512573,31.3631076813
94,0.018181188032,1229244800.0,0.74481010437,2.34262466431,25.936296463,73.8568115234,19.3887195587
98,0.0187929607928,1240477440.0,0.760055541992,2.37224578857,47.4030036926,89.1405105591,10.2513465881
101,0.0152799468488,1040101824.0,0.721126556396,2.27268791199,82.2748413086,34.1186103821,9.22644710541
108,0.0131452707574,1409320448.0,0.745048522949,2.33296108246,88.2821121216,50.5816993713,4.15584182739
115,0.0271280780435,2354344704.0,0.795503616333,2.50634670258,58.5560836792,33.9114532471,20.9238090515
134,0.0167230125517,1501455104.0,0.751535415649,2.34654426575,61.1482124329,33.181678772,20.3698406219
135,0.0227439776063,1347257344.0,0.763973236084,2.39592838287,60.3190917969,29.6810131073,22.0215759277
140,0.013918120414,1016589568.0,0.717166900635,2.22948646545,85.0665893555,47.7944107056,8.50833129883
144,0.0167555510998,1984455552.0,0.724813461304,2.2859582901,82.6560516357,37.7153129578,8.5231628418
151,0.0322534255683,2544748288.0,0.532552719116,1.56799125671,47.7748298645,80.405380249,10.5005435944
164,0.0154374623671,1150273408.0,0.723421096802,2.26837062836,82.5915145874,37.5383987427,9.12784576416
174,0.0146732619032,1197371264.0,0.724409103394,2.26496219635,85.0981063843,47.4617805481,8.27872467041
175,0.0188050922006,1027049216.0,0.749696731567,2.34852695465,38.6909255981,71.1458740234,13.1371641159
221,0.0269791483879,2868383232.0,0.793115615845,2.49573421478,58.3971939087,33.9781761169,20.979467392
231,0.0139858797193,1223967488.0,0.239547729492,0.926116943359,57.534324646,83.9144744873,6.09018182755
232,0.0180526226759,1748577152.0,0.443111419678,1.54680252075,58.3541221619,83.5197219849,4.95882892609
265,0.015219326131,3696698624.0,0.770582199097,2.41277980804,88.0646286011,50.4673500061,4.47974014282
267,0.0179481524974,1843995264.0,0.733795166016,2.28981018066,98.3722381592,44.8556518555,0.192582860589
